Genome	Antigen_class	Antigen	Num_data	ID
ce10	DNase-seq	DNase-Seq	94	SRX2710279,SRX2710280,SRX2710281,SRX2710282,SRX2710283,SRX2710284,SRX2710285,SRX2710286,SRX2710287,SRX4085339,SRX4085340,SRX4085341,SRX4085342,SRX4085343,SRX4085344,SRX4085345,SRX4085346,SRX4085347,SRX4085348,SRX4085350,SRX4085351,SRX4085352,SRX4085353,SRX4085356,SRX4085358,SRX4085359,SRX4085360,SRX4085370,SRX4085371,SRX4085372,SRX4085373,SRX4085374,SRX4085375,SRX4085376,SRX4085377,SRX4085378,SRX4085379,SRX4085380,SRX4085381,SRX4085382,SRX4085383,SRX4085384,SRX4085385,SRX4085386,SRX4085387,SRX4085388,SRX4085389,SRX4085390,SRX4085391,SRX4085392,SRX4085393,SRX4085394,SRX4085395,SRX4085397,SRX4085398,SRX4085399,SRX4085400,SRX4085401,SRX4085402,SRX4085403,SRX4085404,SRX4085405,SRX4085406,SRX4085407,SRX4085408,SRX4085409,SRX4085410,SRX4085412,SRX4085413,SRX4085414,SRX4085415,SRX4085416,SRX4085417,SRX4085418,SRX4085419,SRX4085420,SRX4085421,SRX4085424,SRX4085425,SRX4085426,SRX4085427,SRX4085429,SRX4085430,SRX4085431,SRX4085432,SRX4085433,SRX4085434,SRX4085435,SRX4085436,SRX4085438,SRX4085439,SRX4085440,SRX4085441,SRX4085442
ce10	Histone	H3	48	SRX059223,SRX059224,SRX059225,SRX059228,SRX059229,SRX2228869,SRX2228870,SRX2228871,SRX2228872,SRX2965745,SRX2965746,SRX2965747,SRX2965748,SRX3043405,SRX3043406,SRX3043407,SRX3043408,SRX3043409,SRX3043410,SRX3043419,SRX3043420,SRX3583344,SRX3583345,SRX3583346,SRX3583347,SRX3583348,SRX3583349,SRX3583350,SRX3583351,SRX3583352,SRX3583353,SRX5020713,SRX5020714,SRX529208,SRX529209,SRX5729148,SRX5729149,SRX5729150,SRX743646,SRX743647,SRX743648,SRX743649,SRX743650,SRX743651,SRX747297,SRX747298,SRX747299,SRX747300
ce10	Histone	H3ac	4	SRX5020727,SRX5020728,SRX5020729,SRX5020730
ce10	Histone	H3K14ac	2	SRX494858,SRX494859
ce10	Histone	H3K18ac	4	SRX466485,SRX466486,SRX466509,SRX466510
ce10	Histone	H3K23ac	2	SRX466505,SRX466506
ce10	Histone	H3K23me2	2	SRX2249334,SRX2249335
ce10	Histone	H3K27ac	14	SRX466522,SRX5020715,SRX5020716,SRX5020717,SRX5020718,SRX5020719,SRX5020720,SRX5020721,SRX5020794,SRX5020795,SRX5985664,SRX5985666,SRX5985668,SRX5985670
ce10	Histone	H3K27me1	10	SRX466477,SRX466478,SRX466525,SRX466526,SRX5020731,SRX5020732,SRX5020733,SRX5020734,SRX5020735,SRX5020736
ce10	Histone	H3K27me2	6	SRX5020737,SRX5020738,SRX5020739,SRX5020740,SRX5020741,SRX5020742
