ID	Species	GSMID	Cell_line	Cell_type	Tissue_type	Factor	File
1	Homo sapiens	GSM448026	HeLa	Epithelium	Cervix	BTAF1	1_sort_peaks.narrowPeak.bed
2	Homo sapiens	GSM448027	HeLa	Epithelium	Cervix	GAPDH	2_sort_peaks.narrowPeak.bed
4	Homo sapiens	GSM540707	K562	Erythroblast	Bone Marrow	EGR1	4_sort_peaks.narrowPeak.bed
6	Homo sapiens	GSM460127	LS174T	Epithelium	Colon	TCF4	6_sort_peaks.narrowPeak.bed
8	Homo sapiens	GSM460125	LS174T	Epithelium	Colon	TCF4	8_sort_peaks.narrowPeak.bed
9	Homo sapiens	GSM460124	LS174T	Epithelium	Colon	TCF4	9_sort_peaks.narrowPeak.bed
11	Homo sapiens	GSM460122	LS174T	Epithelium	Colon	TCF4	11_sort_peaks.narrowPeak.bed
12	Homo sapiens	GSM460121	LS174T	Epithelium	Colon	TCF4	12_sort_peaks.narrowPeak.bed
17	Homo sapiens	GSM638201	BJ	Fibroblast	Skin	TERF1	17_sort_peaks.narrowPeak.bed
18	Homo sapiens	GSM638202	BJ	Fibroblast	Skin	TERF2	18_sort_peaks.narrowPeak.bed
84	Homo sapiens	GSM353640	22RV1	Epithelium	Prostate	AR	84_sort_peaks.narrowPeak.bed
93	Homo sapiens	GSM520382	HEK293T	Epithelium	Embryonic Kidney	PHF8	93_sort_peaks.narrowPeak.bed
276	Homo sapiens	GSM539547	BG03	Embryonic Stem Cell	Embryo	SMAD3	276_sort_peaks.narrowPeak.bed
278	Homo sapiens	GSM539548	BG03	Embryonic Stem Cell	Embryo	SMAD3	278_sort_peaks.narrowPeak.bed
279	Homo sapiens	GSM508792	BJ	Fibroblast	Skin	BRD7	279_sort_peaks.narrowPeak.bed
280	Homo sapiens	GSM508791	BJ	Fibroblast	Skin	BRD7	280_sort_peaks.narrowPeak.bed
291	Homo sapiens	GSM508794	BJ	Fibroblast	Skin	TP53	291_sort_peaks.narrowPeak.bed
292	Homo sapiens	GSM508793	BJ	Fibroblast	Skin	TP53	292_sort_peaks.narrowPeak.bed
356	Homo sapiens	GSM575225	Caco-2	Epithelium	Colon	CDX2	356_sort_peaks.narrowPeak.bed
357	Homo sapiens	GSM575224	Caco-2	Epithelium	Colon	CDX2	357_sort_peaks.narrowPeak.bed
361	Homo sapiens	GSM575227	Caco-2	Epithelium	Colon	GATA6	361_sort_peaks.narrowPeak.bed
362	Homo sapiens	GSM575226	Caco-2	Epithelium	Colon	GATA6	362_sort_peaks.narrowPeak.bed
371	Homo sapiens	GSM575229	Caco-2	Epithelium	Colon	HNF4A	371_sort_peaks.narrowPeak.bed
372	Homo sapiens	GSM575228	Caco-2	Epithelium	Colon	HNF4A	372_sort_peaks.narrowPeak.bed
384	Homo sapiens	GSM610330	CMK	Megakaryocyte	Blood	RUNX1	384_sort_peaks.narrowPeak.bed
392	Homo sapiens	GSM732904	CUTLL1	T Lymphocyte	Blood	NOTCH1	392_sort_peaks.narrowPeak.bed
393	Homo sapiens	GSM732903	CUTLL1	T Lymphocyte	Blood	NOTCH1	393_sort_peaks.narrowPeak.bed
394	Homo sapiens	GSM732906	CUTLL1	T Lymphocyte	Blood	RBPJ	394_sort_peaks.narrowPeak.bed
395	Homo sapiens	GSM732905	CUTLL1	T Lymphocyte	Blood	RBPJ	395_sort_peaks.narrowPeak.bed
396	Homo sapiens	GSM732907	CUTLL1	T Lymphocyte	Blood	ZNF143	396_sort_peaks.narrowPeak.bed
397	Homo sapiens	GSM586973	DFB	Melanocyte	Skin	IGF1R	397_sort_peaks.narrowPeak.bed
460	Homo sapiens	GSM589243	ECC-1	Epithelium	Endometrium	ESR1	460_sort_peaks.narrowPeak.bed
461	Homo sapiens	GSM589242	ECC-1	Epithelium	Endometrium	ESR1	461_sort_peaks.narrowPeak.bed
534	Homo sapiens	GSM558678	GIST48	Mesenchymal Stem Cell	Stomach	ETV1	534_sort_peaks.narrowPeak.bed
542	Homo sapiens	GSM537063	GM06990	B Lymphocyte	Blood	E2F4	542_sort_peaks.narrowPeak.bed
559	Homo sapiens	GSM558633	GM10855	Lymphocyte	Blood	VDR	559_sort_peaks.narrowPeak.bed
560	Homo sapiens	GSM558632	GM10855	Lymphocyte	Blood	VDR	560_sort_peaks.narrowPeak.bed
561	Homo sapiens	GSM558631	GM10855	Lymphocyte	Blood	VDR	561_sort_peaks.narrowPeak.bed
562	Homo sapiens	GSM558630	GM10855	Lymphocyte	Blood	VDR	562_sort_peaks.narrowPeak.bed
564	Homo sapiens	GSM558637	GM10861	Lymphocyte	Blood	VDR	564_sort_peaks.narrowPeak.bed
565	Homo sapiens	GSM558636	GM10861	Lymphocyte	Blood	VDR	565_sort_peaks.narrowPeak.bed
566	Homo sapiens	GSM558635	GM10861	Lymphocyte	Blood	VDR	566_sort_peaks.narrowPeak.bed
567	Homo sapiens	GSM558634	GM10861	Lymphocyte	Blood	VDR	567_sort_peaks.narrowPeak.bed
621	Homo sapiens	GSM754332	GM12878	B Lymphocyte	Blood	FOS	621_sort_peaks.narrowPeak.bed
