id	tf_uniprot_id	tf_uniprot_ac	gene_names	species
EXP045650	A0A0B4K6B8	A0A0B4K6B8_DROME	mod(mdg4) BcDNA:GH07769 BcDNA:SD03001 bpd CG15500 CG15501 CG15802 CG18151 CG7836 CG7859 CG8076 Dmel\\CG32491 Doom doom E(var)129 E(var)3-93D E(var)93D E-(var)3-93D E-var(3)1 E-var(3)3 l(3)03852 l(3)j2B7 l(3)L3101 mdg4 mnm mnn mod mod (mdg4) mod(gypsy) Mod(mdg 4) Mod(mdg 4)67.2 Mod(mdg)4 mod(mdg)4 mod(mdg-4) mod(mdg4 MOD(MDG4) Mod(mdg4) mod(mdg4)-58.8 Mod(mdg4)-67.2 mod(mdg4)-67.2 Mod(mdg4)2.2 MOD(MDG4)56.3 Mod(mdg4)67.2 mod(mdg4)67.2 mod-mdg4 MOD2.2 Mod2.2 mod2.2 Mod67.2 Mod[mdg4] mod[mdg4] modMDG4 pf-2 R5_3R:17176815..17177103 CG32491 Dmel_CG32491	Drosophila melanogaster
EXP045632	P10627	TWIST_DROME	twi CG2956	Drosophila melanogaster
EXP045603	Q45VV3	YAP1_DROME	yki CG4005	Drosophila melanogaster
EXP045606	Q08605	GAGA_DROME	Trl Adf-2 GAGA Nc70F TFGAGA CG33261	Drosophila melanogaster
EXP045587	P50536	MSL3_DROME	msl-3 CG8631	Drosophila melanogaster
EXP045569	P10084	AST4_DROME	sc sis-b T4 CG3827	Drosophila melanogaster
EXP045567	Q8IN81	FRU_DROME	fru BTB-VI CG14307	Drosophila melanogaster
EXP045565	P83949	UBX_DROME	Ubx CG10388	Drosophila melanogaster
EXP045553	P17789	TTKB_DROME	ttk FTZ-F2 CG1856	Drosophila melanogaster
EXP045551	P17789	TTKB_DROME	ttk FTZ-F2 CG1856	Drosophila melanogaster
EXP045547	P07548	DFD_DROME	Dfd CG2189	Drosophila melanogaster
EXP045539	P14083	LOV_DROME	lov Tkr CG16778	Drosophila melanogaster
EXP045537	P20153	USP_DROME	usp Cf1 NR2B4 CG4380	Drosophila melanogaster
EXP045531	A1Z8A6	A1Z8A6_DROME	psq CG2368 Dmel_CG2368	Drosophila melanogaster
EXP045523	P07247	KRUP_DROME	Kr CG3340	Drosophila melanogaster
EXP045513	O46339	HTH_DROME	hth dtl CG17117	Drosophila melanogaster
EXP045505	Q8IN81	FRU_DROME	fru BTB-VI CG14307	Drosophila melanogaster
EXP045501	P14083	LOV_DROME	lov Tkr CG16778	Drosophila melanogaster
EXP045499	Q01295	BRC1_DROME	br Br-C CG11491	Drosophila melanogaster
EXP045497	P06601	PRD_DROME	prd CG6716	Drosophila melanogaster
EXP045495	P10084	AST4_DROME	sc sis-b T4 CG3827	Drosophila melanogaster
EXP045493	Q94545	ASH2_DROME	ash2 CG6677	Drosophila melanogaster
EXP045485	Q9NJG9	None	None	Drosophila melanogaster
EXP045483	Q9NJG9	None	None	Drosophila melanogaster
EXP045480	Q9NJG9	None	None	Drosophila melanogaster
EXP045470	Q01842	POK_DROME	aop pok Yan CG3166	Drosophila melanogaster
EXP045447	M9PBL3	M9PBL3_DROME	Hsp83 143198_at 4C 83 83K HSP anon-EST:Liang-2.53 anon-WO0068693 anon-WO0140519.209 clone 2.53 Dmel\\CG1242 DMHSP82 DmHsp83 E(sev)3A E(sina)2 en(lz)3C HSP82 Hsp82 hsp82 HSP83 hsp83 hsp84 HSP90 Hsp90 hsp90 HSP90A1 l(3)j5C2 ms(3)08445 ORF1 P02828 stc Su(Raf)3A CG1242 Dmel_CG1242	Drosophila melanogaster
EXP045416	Q9VB52	None	None	Drosophila melanogaster
EXP045415	Q9VB52	None	None	Drosophila melanogaster
EXP045406	Q9W539	None	None	Drosophila melanogaster
EXP045402	P40427	EXD_DROME	exd CG8933	Drosophila melanogaster
EXP045398	Q4R0P9	Q4R0P9_DROME	cbt CG4427	Drosophila melanogaster
EXP045390	P45975	SUV39_DROME	Su(var)3-9 KMT1 CG6476	Drosophila melanogaster
EXP045388	P07247	KRUP_DROME	Kr CG3340	Drosophila melanogaster
EXP045384	P05205	HP1_DROME	Su(var)205 HP1 CG8409	Drosophila melanogaster
EXP045378	P18102	TLL_DROME	tll NR2E2 CG1378	Drosophila melanogaster
EXP045369	P20659	TRX_DROME	trx KMT2A CG8651	Drosophila melanogaster
EXP045371	P11346	KRAF1_DROME	phl ph CG2845	Drosophila melanogaster
EXP045372	P26017	PC_DROME	Pc CG7618	Drosophila melanogaster
EXP045361	P06602	EVE_DROME	eve CG2328	Drosophila melanogaster
EXP045342	M9PH39	M9PH39_DROME	nej anon-WO0147981.11 anon-WO03040301.89 CBP Cbp cbp CBP_ CG15321 Crbp dCBP dKAT3 dmCBP Dmel\\CG15319 l(1)G0112 l(1)G0350 l(1)G0470 Nej nej CBP Nejire p300 CG15319 Dmel_CG15319	Drosophila melanogaster
EXP045340	M9PH39	M9PH39_DROME	nej anon-WO0147981.11 anon-WO03040301.89 CBP Cbp cbp CBP_ CG15321 Crbp dCBP dKAT3 dmCBP Dmel\\CG15319 l(1)G0112 l(1)G0350 l(1)G0470 Nej nej CBP Nejire p300 CG15319 Dmel_CG15319	Drosophila melanogaster
EXP045339	M9PH39	M9PH39_DROME	nej anon-WO0147981.11 anon-WO03040301.89 CBP Cbp cbp CBP_ CG15321 Crbp dCBP dKAT3 dmCBP Dmel\\CG15319 l(1)G0112 l(1)G0350 l(1)G0470 Nej nej CBP Nejire p300 CG15319 Dmel_CG15319	Drosophila melanogaster
EXP045338	M9PH39	M9PH39_DROME	nej anon-WO0147981.11 anon-WO03040301.89 CBP Cbp cbp CBP_ CG15321 Crbp dCBP dKAT3 dmCBP Dmel\\CG15319 l(1)G0112 l(1)G0350 l(1)G0470 Nej nej CBP Nejire p300 CG15319 Dmel_CG15319	Drosophila melanogaster
EXP045337	M9PH39	M9PH39_DROME	nej anon-WO0147981.11 anon-WO03040301.89 CBP Cbp cbp CBP_ CG15321 Crbp dCBP dKAT3 dmCBP Dmel\\CG15319 l(1)G0112 l(1)G0350 l(1)G0470 Nej nej CBP Nejire p300 CG15319 Dmel_CG15319	Drosophila melanogaster
EXP044578	P23792	DISC_DROME	disco CG9908	Drosophila melanogaster
EXP044574	Q9VN10	None	None	Drosophila melanogaster
EXP044572	A0A0B4K765	A0A0B4K765_DROME	Sin3A CG8815 Dmel_CG8815	Drosophila melanogaster
EXP044568	Q9VUQ5	None	None	Drosophila melanogaster
EXP044559	P09085	CAD_DROME	cad CG1759	Drosophila melanogaster
EXP044557	P34021	ECR_DROME	EcR NR1H1 CG1765	Drosophila melanogaster
EXP044555	Q9VS55	None	None	Drosophila melanogaster
EXP044554	P09085	CAD_DROME	cad CG1759	Drosophila melanogaster
EXP044521	Q9W517	None	None	Drosophila melanogaster
EXP044526	O18415	O18415_DROME	SA CG3423	Drosophila melanogaster
EXP044528	A1Z8S6	A1Z8S6_DROME	pds5 pds5-RA CG17509 Dmel_CG17509	Drosophila melanogaster
EXP044531	A1Z8S6	A1Z8S6_DROME	pds5 pds5-RA CG17509 Dmel_CG17509	Drosophila melanogaster
EXP044532	Q7PLI2	NIPB_DROME	Nipped-B CG17704	Drosophila melanogaster
EXP044479	P48996	DPY27_CAEEL	dpy-27 R13G10.1	Caenorhabditis elegans
EXP044469	P34706	SDC3_CAEEL	sdc-3 C25D7.3	Caenorhabditis elegans
EXP044502	G5EBL3	SDC2_CAEEL	sdc-2 C35C5.1	Caenorhabditis elegans
EXP044494	P48996	DPY27_CAEEL	dpy-27 R13G10.1	Caenorhabditis elegans
EXP044493	P34706	SDC3_CAEEL	sdc-3 C25D7.3	Caenorhabditis elegans
EXP044492	P34706	SDC3_CAEEL	sdc-3 C25D7.3	Caenorhabditis elegans
EXP044490	P34706	SDC3_CAEEL	sdc-3 C25D7.3	Caenorhabditis elegans
