tf	species	dataset
AATF	Homo sapiens	GSE93626.AATF.NALM-6;GSE93626.AATF.LAL-B
ADNP	Homo sapiens	ENCSR440VKE.ADNP.K-562
AEBP2	Homo sapiens	ENCSR769JRS.AEBP2.HEK293
AFF1	Homo sapiens	ENCSR241LIH.AFF1.K-562;ENCSR426URK.AFF1.K-562;GSE79899.AFF1.MV4-11;GSE83671.AFF1.L826
AFF4	Homo sapiens	GSE62482.AFF4.CD4_TH1_BAY;GSE62482.AFF4.CD4_TH1_DMSO;GSE34097.AFF4.HEK293T;GSE40632.AFF4.HeLa;GSE40632.AFF4.HeLa_DOX;GSE40632.AFF4.HeLa_DOX_EGF;GSE40632.AFF4.HeLa_EGF;GSE30267.AFF4.HCT-116_SERUM;GSE30267.AFF4.HCT-116_STARVED;GSE47938.AFF4.HCT-116
AGO1	Homo sapiens	ENCSR555ZMV.AGO1.Hep-G2;ENCSR641BSL.AGO1.K-562
AGO2	Homo sapiens	ENCSR151NQL.AGO2.Hep-G2
AHR	Homo sapiens	ENCSR412ZDC.AHR.Hep-G2;GSE116632.AHR.GM01310_3MC;GSE116632.AHR.GM01310_DMSO;GSE41820.AHR.MCF-7;GSE90550.AHR.MCF-7_DMSO_1d;GSE90550.AHR.MCF-7_DMSO_45min;GSE90550.AHR.MCF-7_TCDD_1d;GSE90550.AHR.MCF-7_TCDD_45min
AHRR	Homo sapiens	GSE90550.AHRR.MCF-7_DMSO_1d
APC	Homo sapiens	GSE103894.APC.HCT-116
