AvgSpotLen	BioSample	DATASTORE_filetype	Experiment	LibraryLayout	LoadDate	MBases	MBytes	Organism	Run	SRA_Sample	Sample_Name	dna_source	expression_system	gene_id	protein	protein_affinity_tag	protein_family	protein_source	replicate	subset	Assay_Type	BioProject	Center_Name	Consent	DATASTORE_provider	InsertSize	Instrument	LibrarySelection	LibrarySource	Platform	ReleaseDate	SRA_Study	source_name
100	SAMN04235879	sra	SRX1411978	PAIRED	2015-11-20	404	256	Arabidopsis thaliana	SRR2926068	SRS1147268	GSM1924998	col	tnt		beads		control		v3a		OTHER	PRJNA257556	GEO	public	ncbi	0	Illumina HiSeq 2500	other	GENOMIC	ILLUMINA	2016-05-25	SRP045296	young leaf
100	SAMN04235880	sra	SRX1411979	PAIRED	2015-11-20	683	418	Arabidopsis thaliana	SRR2926069	SRS1147267	GSM1924999	colamp	tnt		pixhalo		control		v3a		OTHER	PRJNA257556	GEO	public	ncbi	0	Illumina HiSeq 2500	other	GENOMIC	ILLUMINA	2016-05-25	SRP045296	young leaf
101	SAMN04235881	sra	SRX1411980	SINGLE	2015-11-20	9954	5639	Zea mays	SRR2926070	SRS1147266	GSM1925000	col	ecoli	GRMZM2G086949	ZmARF5	GST	ARF	Zea mays	4	motif+TFBS	OTHER	PRJNA257556	GEO	public	ncbi	0	Illumina HiSeq 2500	other	GENOMIC	ILLUMINA	2016-05-25	SRP045296	young leaf
130	SAMN04235883	sra	SRX1411982	SINGLE	2015-11-20	253	124	Arabidopsis thaliana	SRR2926072	SRS1147264	GSM1925002	col	tnt	AT5G18090	AT5G18090	Halo	ABI3VP1	Arabidopsis thaliana	a	motif	OTHER	PRJNA257556	GEO	public	ncbi	0	Illumina HiSeq 2500	other	GENOMIC	ILLUMINA	2016-05-25	SRP045296	young leaf
130	SAMN04235884	sra	SRX1411983	SINGLE	2015-11-20	132	65	Arabidopsis thaliana	SRR2926073	SRS1147263	GSM1925003	col	tnt	AT5G25475	AT5G25475	Halo	ABI3VP1	Arabidopsis thaliana	a	motif	OTHER	PRJNA257556	GEO	public	ncbi	0	Illumina HiSeq 2500	other	GENOMIC	ILLUMINA	2016-05-25	SRP045296	young leaf
100	SAMN04235885	sra	SRX1411984	SINGLE	2015-11-20	319	230	Arabidopsis thaliana	SRR2926074	SRS1147262	GSM1925004	colamp	tnt	AT5G60130	AT5G60130	Halo	ABI3VP1	Arabidopsis thaliana	a	motif	OTHER	PRJNA257556	GEO	public	ncbi	0	Illumina HiSeq 2500	other	GENOMIC	ILLUMINA	2016-05-25	SRP045296	young leaf
100	SAMN04235886	sra	SRX1411985	SINGLE	2015-11-20	924	401	Arabidopsis thaliana	SRR2926075	SRS1147260	GSM1925005	col	tnt	AT5G60130	AT5G60130	Halo	ABI3VP1	Arabidopsis thaliana	a	motif+TFBS	OTHER	PRJNA257556	GEO	public	ncbi	0	Illumina HiSeq 2500	other	GENOMIC	ILLUMINA	2016-05-25	SRP045296	young leaf
100	SAMN04235887	sra	SRX1411986	SINGLE	2015-11-20	533	236	Arabidopsis thaliana	SRR2926076	SRS1147261	GSM1925006	col	tnt	AT3G26790	FUS3	Halo	ABI3VP1	Arabidopsis thaliana	a	motif+TFBS	OTHER	PRJNA257556	GEO	public	ncbi	0	Illumina HiSeq 2500	other	GENOMIC	ILLUMINA	2016-05-25	SRP045296	young leaf
100	SAMN04235888	sra	SRX1411987	SINGLE	2015-11-20	523	243	Arabidopsis thaliana	SRR2926077	SRS1147259	GSM1925007	col	tnt	AT4G01500	NGA4	Halo	ABI3VP1	Arabidopsis thaliana	a	motif+TFBS	OTHER	PRJNA257556	GEO	public	ncbi	0	Illumina HiSeq 2500	other	GENOMIC	ILLUMINA	2016-05-25	SRP045296	young leaf
100	SAMN04235889	sra	SRX1411988	SINGLE	2015-11-20	397	203	Arabidopsis thaliana	SRR2926078	SRS1147258	GSM1925008	col	tnt	AT4G33280	REM16	Halo	ABI3VP1	Arabidopsis thaliana	a	motif	OTHER	PRJNA257556	GEO	public	ncbi	0	Illumina HiSeq 2500	other	GENOMIC	ILLUMINA	2016-05-25	SRP045296	young leaf
