Alias	AvgSpotLen	BioSample	ENA_FIRST_PUBLIC	Experiment	INSDC_first_public	INSDC_last_update	Instrument	LibrarySelection	Library_Name	LoadDate	MBases	MBytes	ReleaseDate	Run	SRA_Sample	SRA_accession	Sample_Name	Title	Assay_Type	BioProject	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	INSDC_center_name	INSDC_status	InsertSize	LibraryLayout	LibrarySource	Organism	Platform	SRA_Study
CUX2_TAGCCT40NCCT_AI_5	40	SAMEA1692746	2013-01-18	ERX168957	2013-01-18T09:17:08Z	2012-11-15T11:56:16Z	Illumina HiSeq 2000	other	CUX2_TAGCCT40NCCT_AI_5	2013-01-18	32	19	2013-01-18	ERR194268	ERS190948	ERS190948	SAMEA1692746 ERS190948	CUX2_TAGCCT40NCCT_AI_5	OTHER	PRJEB3289	KI-BN	public	sra	ncbi	KI-BN	public	0	SINGLE	SYNTHETIC	Homo sapiens	ILLUMINA	ERP001824
CUX2_TAGCCT40NCCT_AI_6	40	SAMEA1692711	2013-01-18	ERX168958	2013-01-18T09:17:08Z	2012-11-15T11:56:16Z	Illumina HiSeq 2000	other	CUX2_TAGCCT40NCCT_AI_6	2013-01-18	33	19	2013-01-18	ERR194269	ERS190949	ERS190949	SAMEA1692711 ERS190949	CUX2_TAGCCT40NCCT_AI_6	OTHER	PRJEB3289	KI-BN	public	sra	ncbi	KI-BN	public	0	SINGLE	SYNTHETIC	Homo sapiens	ILLUMINA	ERP001824
DPRX_TCGAAG30NAAT_AI_1	30	SAMEA1694848	2013-01-18	ERX168959	2013-01-18T09:17:08Z	2012-11-15T11:56:16Z	Illumina HiSeq 2000	other	DPRX_TCGAAG30NAAT_AI_1	2013-01-18	12	7	2013-01-18	ERR194270	ERS190950	ERS190950	SAMEA1694848 ERS190950	DPRX_TCGAAG30NAAT_AI_1	OTHER	PRJEB3289	KI-BN	public	sra	ncbi	KI-BN	public	0	SINGLE	SYNTHETIC	Homo sapiens	ILLUMINA	ERP001824
DPRX_TCGAAG30NAAT_AI_2	30	SAMEA1694871	2013-01-18	ERX168960	2013-01-18T09:17:08Z	2012-11-15T11:56:16Z	Illumina HiSeq 2000	other	DPRX_TCGAAG30NAAT_AI_2	2013-01-18	10	6	2013-01-18	ERR194271	ERS190951	ERS190951	SAMEA1694871 ERS190951	DPRX_TCGAAG30NAAT_AI_2	OTHER	PRJEB3289	KI-BN	public	sra	ncbi	KI-BN	public	0	SINGLE	SYNTHETIC	Homo sapiens	ILLUMINA	ERP001824
DPRX_TCGAAG30NAAT_AI_3	30	SAMEA1694889	2013-01-18	ERX168961	2013-01-18T09:17:08Z	2012-11-15T11:56:16Z	Illumina HiSeq 2000	other	DPRX_TCGAAG30NAAT_AI_3	2013-01-18	17	11	2013-01-18	ERR194272	ERS190952	ERS190952	SAMEA1694889 ERS190952	DPRX_TCGAAG30NAAT_AI_3	OTHER	PRJEB3289	KI-BN	public	sra	ncbi	KI-BN	public	0	SINGLE	SYNTHETIC	Homo sapiens	ILLUMINA	ERP001824
DPRX_TCGAAG30NAAT_AI_4	30	SAMEA1694902	2013-01-18	ERX168962	2013-01-18T09:17:08Z	2012-11-15T11:56:16Z	Illumina HiSeq 2000	other	DPRX_TCGAAG30NAAT_AI_4	2013-01-18	15	9	2013-01-18	ERR194273	ERS190953	ERS190953	SAMEA1694902 ERS190953	DPRX_TCGAAG30NAAT_AI_4	OTHER	PRJEB3289	KI-BN	public	sra	ncbi	KI-BN	public	0	SINGLE	SYNTHETIC	Homo sapiens	ILLUMINA	ERP001824
DPRX_TCGAAG30NAAT_AI_5	30	SAMEA1694926	2013-01-18	ERX168963	2013-01-18T09:17:08Z	2012-11-15T11:56:16Z	Illumina HiSeq 2000	other	DPRX_TCGAAG30NAAT_AI_5	2013-01-18	23	14	2013-01-18	ERR194274	ERS190954	ERS190954	SAMEA1694926 ERS190954	DPRX_TCGAAG30NAAT_AI_5	OTHER	PRJEB3289	KI-BN	public	sra	ncbi	KI-BN	public	0	SINGLE	SYNTHETIC	Homo sapiens	ILLUMINA	ERP001824
DPRX_TCGAAG30NAAT_AI_6	30	SAMEA1694948	2013-01-18	ERX168964	2013-01-18T09:17:08Z	2012-11-15T11:56:16Z	Illumina HiSeq 2000	other	DPRX_TCGAAG30NAAT_AI_6	2013-01-18	14	8	2013-01-18	ERR194275	ERS190955	ERS190955	SAMEA1694948 ERS190955	DPRX_TCGAAG30NAAT_AI_6	OTHER	PRJEB3289	KI-BN	public	sra	ncbi	KI-BN	public	0	SINGLE	SYNTHETIC	Homo sapiens	ILLUMINA	ERP001824
EGR4_TAGCGA40NGCT_AI_1	40	SAMEA1694955	2013-01-18	ERX168965	2013-01-18T09:17:08Z	2012-11-15T11:56:16Z	Illumina HiSeq 2000	other	EGR4_TAGCGA40NGCT_AI_1	2013-01-18	13	8	2013-01-18	ERR194276	ERS190956	ERS190956	SAMEA1694955 ERS190956	EGR4_TAGCGA40NGCT_AI_1	OTHER	PRJEB3289	KI-BN	public	sra	ncbi	KI-BN	public	0	SINGLE	SYNTHETIC	Homo sapiens	ILLUMINA	ERP001824
EGR4_TAGCGA40NGCT_AI_2	40	SAMEA1694973	2013-01-18	ERX168966	2013-01-18T09:17:08Z	2012-11-15T11:56:16Z	Illumina HiSeq 2000	other	EGR4_TAGCGA40NGCT_AI_2	2013-01-18	11	6	2013-01-18	ERR194277	ERS190957	ERS190957	SAMEA1694973 ERS190957	EGR4_TAGCGA40NGCT_AI_2	OTHER	PRJEB3289	KI-BN	public	sra	ncbi	KI-BN	public	0	SINGLE	SYNTHETIC	Homo sapiens	ILLUMINA	ERP001824
EGR4_TAGCGA40NGCT_AI_3	40	SAMEA1694625	2013-01-18	ERX168967	2013-01-18T09:17:08Z	2012-11-15T11:56:16Z	Illumina HiSeq 2000	other	EGR4_TAGCGA40NGCT_AI_3	2013-01-18	13	8	2013-01-18	ERR194278	ERS190958	ERS190958	SAMEA1694625 ERS190958	EGR4_TAGCGA40NGCT_AI_3	OTHER	PRJEB3289	KI-BN	public	sra	ncbi	KI-BN	public	0	SINGLE	SYNTHETIC	Homo sapiens	ILLUMINA	ERP001824
EGR4_TAGCGA40NGCT_AI_4	40	SAMEA1694646	2013-01-18	ERX168968	2013-01-18T09:17:08Z	2012-11-15T11:56:16Z	Illumina HiSeq 2000	other	EGR4_TAGCGA40NGCT_AI_4	2013-01-18	8	5	2013-01-18	ERR194279	ERS190959	ERS190959	SAMEA1694646 ERS190959	EGR4_TAGCGA40NGCT_AI_4	OTHER	PRJEB3289	KI-BN	public	sra	ncbi	KI-BN	public	0	SINGLE	SYNTHETIC	Homo sapiens	ILLUMINA	ERP001824
EGR4_TAGCGA40NGCT_AI_5	40	SAMEA1694395	2013-01-18	ERX168969	2013-01-18T09:17:08Z	2012-11-15T11:56:16Z	Illumina HiSeq 2000	other	EGR4_TAGCGA40NGCT_AI_5	2013-01-18	21	13	2013-01-18	ERR194280	ERS190960	ERS190960	SAMEA1694395 ERS190960	EGR4_TAGCGA40NGCT_AI_5	OTHER	PRJEB3289	KI-BN	public	sra	ncbi	KI-BN	public	0	SINGLE	SYNTHETIC	Homo sapiens	ILLUMINA	ERP001824
EGR4_TAGCGA40NGCT_AI_6	40	SAMEA1694391	2013-01-18	ERX168970	2013-01-18T09:17:08Z	2012-11-15T11:56:16Z	Illumina HiSeq 2000	other	EGR4_TAGCGA40NGCT_AI_6	2013-01-18	22	14	2013-01-18	ERR194281	ERS190961	ERS190961	SAMEA1694391 ERS190961	EGR4_TAGCGA40NGCT_AI_6	OTHER	PRJEB3289	KI-BN	public	sra	ncbi	KI-BN	public	0	SINGLE	SYNTHETIC	Homo sapiens	ILLUMINA	ERP001824
ELK1_TAGCAG30NACT_AI_1	30	SAMEA1694367	2013-01-18	ERX168971	2013-01-18T09:17:08Z	2012-11-15T11:56:16Z	Illumina HiSeq 2000	other	ELK1_TAGCAG30NACT_AI_1	2013-01-18	7	4	2013-01-18	ERR194282	ERS190962	ERS190962	SAMEA1694367 ERS190962	ELK1_TAGCAG30NACT_AI_1	OTHER	PRJEB3289	KI-BN	public	sra	ncbi	KI-BN	public	0	SINGLE	SYNTHETIC	Homo sapiens	ILLUMINA	ERP001824
ELK1_TAGCAG30NACT_AI_2	30	SAMEA1694339	2013-01-18	ERX168972	2013-01-18T09:17:08Z	2012-11-15T11:56:16Z	Illumina HiSeq 2000	other	ELK1_TAGCAG30NACT_AI_2	2013-01-18	8	4	2013-01-18	ERR194283	ERS190963	ERS190963	SAMEA1694339 ERS190963	ELK1_TAGCAG30NACT_AI_2	OTHER	PRJEB3289	KI-BN	public	sra	ncbi	KI-BN	public	0	SINGLE	SYNTHETIC	Homo sapiens	ILLUMINA	ERP001824
ELK1_TAGCAG30NACT_AI_3	30	SAMEA1694336	2013-01-18	ERX168973	2013-01-18T09:17:08Z	2012-11-15T11:56:16Z	Illumina HiSeq 2000	other	ELK1_TAGCAG30NACT_AI_3	2013-01-18	14	8	2013-01-18	ERR194284	ERS190964	ERS190964	SAMEA1694336 ERS190964	ELK1_TAGCAG30NACT_AI_3	OTHER	PRJEB3289	KI-BN	public	sra	ncbi	KI-BN	public	0	SINGLE	SYNTHETIC	Homo sapiens	ILLUMINA	ERP001824
ELK1_TAGCAG30NACT_AI_4	30	SAMEA1694085	2013-01-18	ERX168974	2013-01-18T09:17:08Z	2012-11-15T11:56:16Z	Illumina HiSeq 2000	other	ELK1_TAGCAG30NACT_AI_4	2013-01-18	15	9	2013-01-18	ERR194285	ERS190965	ERS190965	SAMEA1694085 ERS190965	ELK1_TAGCAG30NACT_AI_4	OTHER	PRJEB3289	KI-BN	public	sra	ncbi	KI-BN	public	0	SINGLE	SYNTHETIC	Homo sapiens	ILLUMINA	ERP001824
ELK1_TAGCAG30NACT_AI_5	30	SAMEA1694112	2013-01-18	ERX168975	2013-01-18T09:17:08Z	2012-11-15T11:56:16Z	Illumina HiSeq 2000	other	ELK1_TAGCAG30NACT_AI_5	2013-01-18	16	10	2013-01-18	ERR194286	ERS190966	ERS190966	SAMEA1694112 ERS190966	ELK1_TAGCAG30NACT_AI_5	OTHER	PRJEB3289	KI-BN	public	sra	ncbi	KI-BN	public	0	SINGLE	SYNTHETIC	Homo sapiens	ILLUMINA	ERP001824
ELK1_TAGCAG30NACT_AI_6	30	SAMEA1694115	2013-01-18	ERX168976	2013-01-18T09:17:08Z	2012-11-15T11:56:16Z	Illumina HiSeq 2000	other	ELK1_TAGCAG30NACT_AI_6	2013-01-18	25	15	2013-01-18	ERR194287	ERS190967	ERS190967	SAMEA1694115 ERS190967	ELK1_TAGCAG30NACT_AI_6	OTHER	PRJEB3289	KI-BN	public	sra	ncbi	KI-BN	public	0	SINGLE	SYNTHETIC	Homo sapiens	ILLUMINA	ERP001824
EMX1_TCGCAT30NACT_AI_1	30	SAMEA1694050	2013-01-18	ERX168977	2013-01-18T09:17:08Z	2012-11-15T11:56:16Z	Illumina HiSeq 2000	other	EMX1_TCGCAT30NACT_AI_1	2013-01-18	8	5	2013-01-18	ERR194288	ERS190968	ERS190968	SAMEA1694050 ERS190968	EMX1_TCGCAT30NACT_AI_1	OTHER	PRJEB3289	KI-BN	public	sra	ncbi	KI-BN	public	0	SINGLE	SYNTHETIC	Homo sapiens	ILLUMINA	ERP001824
EMX1_TCGCAT30NACT_AI_2	30	SAMEA1694082	2013-01-18	ERX168978	2013-01-18T09:17:08Z	2012-11-15T11:56:16Z	Illumina HiSeq 2000	other	EMX1_TCGCAT30NACT_AI_2	2013-01-18	7	4	2013-01-18	ERR194289	ERS190969	ERS190969	SAMEA1694082 ERS190969	EMX1_TCGCAT30NACT_AI_2	OTHER	PRJEB3289	KI-BN	public	sra	ncbi	KI-BN	public	0	SINGLE	SYNTHETIC	Homo sapiens	ILLUMINA	ERP001824
EMX1_TCGCAT30NACT_AI_3	30	SAMEA1693791	2013-01-18	ERX168979	2013-01-18T09:17:08Z	2012-11-15T11:56:16Z	Illumina HiSeq 2000	other	EMX1_TCGCAT30NACT_AI_3	2013-01-18	13	8	2013-01-18	ERR194290	ERS190970	ERS190970	SAMEA1693791 ERS190970	EMX1_TCGCAT30NACT_AI_3	OTHER	PRJEB3289	KI-BN	public	sra	ncbi	KI-BN	public	0	SINGLE	SYNTHETIC	Homo sapiens	ILLUMINA	ERP001824
EMX1_TCGCAT30NACT_AI_4	30	SAMEA1693776	2013-01-18	ERX168980	2013-01-18T09:17:08Z	2012-11-15T11:56:16Z	Illumina HiSeq 2000	other	EMX1_TCGCAT30NACT_AI_4	2013-01-18	15	9	2013-01-18	ERR194291	ERS190971	ERS190971	SAMEA1693776 ERS190971	EMX1_TCGCAT30NACT_AI_4	OTHER	PRJEB3289	KI-BN	public	sra	ncbi	KI-BN	public	0	SINGLE	SYNTHETIC	Homo sapiens	ILLUMINA	ERP001824
EMX1_TCGCAT30NACT_AI_5	30	SAMEA1693760	2013-01-18	ERX168981	2013-01-18T09:17:08Z	2012-11-15T11:56:16Z	Illumina HiSeq 2000	other	EMX1_TCGCAT30NACT_AI_5	2013-01-18	17	10	2013-01-18	ERR194292	ERS190972	ERS190972	SAMEA1693760 ERS190972	EMX1_TCGCAT30NACT_AI_5	OTHER	PRJEB3289	KI-BN	public	sra	ncbi	KI-BN	public	0	SINGLE	SYNTHETIC	Homo sapiens	ILLUMINA	ERP001824
EMX1_TCGCAT30NACT_AI_6	30	SAMEA1693674	2013-01-18	ERX168982	2013-01-18T09:17:08Z	2012-11-15T11:56:16Z	Illumina HiSeq 2000	other	EMX1_TCGCAT30NACT_AI_6	2013-01-18	12	6	2013-01-18	ERR194293	ERS190973	ERS190973	SAMEA1693674 ERS190973	EMX1_TCGCAT30NACT_AI_6	OTHER	PRJEB3289	KI-BN	public	sra	ncbi	KI-BN	public	0	SINGLE	SYNTHETIC	Homo sapiens	ILLUMINA	ERP001824
EMX2_TGGTTC30NTTT_AI_1	30	SAMEA1693647	2013-01-18	ERX168983	2013-01-18T09:17:08Z	2012-11-15T11:56:17Z	Illumina HiSeq 2000	other	EMX2_TGGTTC30NTTT_AI_1	2013-01-18	12	7	2013-01-18	ERR194294	ERS190974	ERS190974	SAMEA1693647 ERS190974	EMX2_TGGTTC30NTTT_AI_1	OTHER	PRJEB3289	KI-BN	public	sra	ncbi	KI-BN	public	0	SINGLE	SYNTHETIC	Homo sapiens	ILLUMINA	ERP001824
EMX2_TGGTTC30NTTT_AI_2	30	SAMEA1693704	2013-01-18	ERX168984	2013-01-18T09:17:08Z	2012-11-15T11:56:17Z	Illumina HiSeq 2000	other	EMX2_TGGTTC30NTTT_AI_2	2013-01-18	9	5	2013-01-18	ERR194295	ERS190975	ERS190975	SAMEA1693704 ERS190975	EMX2_TGGTTC30NTTT_AI_2	OTHER	PRJEB3289	KI-BN	public	sra	ncbi	KI-BN	public	0	SINGLE	SYNTHETIC	Homo sapiens	ILLUMINA	ERP001824
EMX2_TGGTTC30NTTT_AI_3	30	SAMEA1693687	2013-01-18	ERX168985	2013-01-18T09:17:08Z	2012-11-15T11:56:17Z	Illumina HiSeq 2000	other	EMX2_TGGTTC30NTTT_AI_3	2013-01-18	16	10	2013-01-18	ERR194296	ERS190976	ERS190976	SAMEA1693687 ERS190976	EMX2_TGGTTC30NTTT_AI_3	OTHER	PRJEB3289	KI-BN	public	sra	ncbi	KI-BN	public	0	SINGLE	SYNTHETIC	Homo sapiens	ILLUMINA	ERP001824
EMX2_TGGTTC30NTTT_AI_4	30	SAMEA1693574	2013-01-18	ERX168986	2013-01-18T09:17:08Z	2012-11-15T11:56:17Z	Illumina HiSeq 2000	other	EMX2_TGGTTC30NTTT_AI_4	2013-01-18	16	10	2013-01-18	ERR194297	ERS190977	ERS190977	SAMEA1693574 ERS190977	EMX2_TGGTTC30NTTT_AI_4	OTHER	PRJEB3289	KI-BN	public	sra	ncbi	KI-BN	public	0	SINGLE	SYNTHETIC	Homo sapiens	ILLUMINA	ERP001824
EMX2_TGGTTC30NTTT_AI_5	30	SAMEA1693578	2013-01-18	ERX168987	2013-01-18T09:17:08Z	2012-11-15T11:56:17Z	Illumina HiSeq 2000	other	EMX2_TGGTTC30NTTT_AI_5	2013-01-18	18	10	2013-01-18	ERR194298	ERS190978	ERS190978	SAMEA1693578 ERS190978	EMX2_TGGTTC30NTTT_AI_5	OTHER	PRJEB3289	KI-BN	public	sra	ncbi	KI-BN	public	0	SINGLE	SYNTHETIC	Homo sapiens	ILLUMINA	ERP001824
EMX2_TGGTTC30NTTT_AI_6	30	SAMEA1693559	2013-01-18	ERX168988	2013-01-18T09:17:08Z	2012-11-15T11:56:17Z	Illumina HiSeq 2000	other	EMX2_TGGTTC30NTTT_AI_6	2013-01-18	13	7	2013-01-18	ERR194299	ERS190979	ERS190979	SAMEA1693559 ERS190979	EMX2_TGGTTC30NTTT_AI_6	OTHER	PRJEB3289	KI-BN	public	sra	ncbi	KI-BN	public	0	SINGLE	SYNTHETIC	Homo sapiens	ILLUMINA	ERP001824
EOMES_TGTAAA30NAAG_AI_1	30	SAMEA1693206	2013-01-18	ERX168989	2013-01-18T09:17:08Z	2012-11-15T11:56:17Z	Illumina HiSeq 2000	other	EOMES_TGTAAA30NAAG_AI_1	2013-01-18	12	7	2013-01-18	ERR194300	ERS190980	ERS190980	SAMEA1693206 ERS190980	EOMES_TGTAAA30NAAG_AI_1	OTHER	PRJEB3289	KI-BN	public	sra	ncbi	KI-BN	public	0	SINGLE	SYNTHETIC	Homo sapiens	ILLUMINA	ERP001824
EOMES_TGTAAA30NAAG_AI_2	30	SAMEA1693194	2013-01-18	ERX168990	2013-01-18T09:17:08Z	2012-11-15T11:56:17Z	Illumina HiSeq 2000	other	EOMES_TGTAAA30NAAG_AI_2	2013-01-18	9	5	2013-01-18	ERR194301	ERS190981	ERS190981	SAMEA1693194 ERS190981	EOMES_TGTAAA30NAAG_AI_2	OTHER	PRJEB3289	KI-BN	public	sra	ncbi	KI-BN	public	0	SINGLE	SYNTHETIC	Homo sapiens	ILLUMINA	ERP001824
EOMES_TGTAAA30NAAG_AI_3	30	SAMEA1693174	2013-01-18	ERX168991	2013-01-18T09:17:08Z	2012-11-15T11:56:17Z	Illumina HiSeq 2000	other	EOMES_TGTAAA30NAAG_AI_3	2013-01-18	19	11	2013-01-18	ERR194302	ERS190982	ERS190982	SAMEA1693174 ERS190982	EOMES_TGTAAA30NAAG_AI_3	OTHER	PRJEB3289	KI-BN	public	sra	ncbi	KI-BN	public	0	SINGLE	SYNTHETIC	Homo sapiens	ILLUMINA	ERP001824
EOMES_TGTAAA30NAAG_AI_4	30	SAMEA1693160	2013-01-18	ERX168992	2013-01-18T09:17:08Z	2012-11-15T11:56:17Z	Illumina HiSeq 2000	other	EOMES_TGTAAA30NAAG_AI_4	2013-01-18	19	12	2013-01-18	ERR194303	ERS190983	ERS190983	SAMEA1693160 ERS190983	EOMES_TGTAAA30NAAG_AI_4	OTHER	PRJEB3289	KI-BN	public	sra	ncbi	KI-BN	public	0	SINGLE	SYNTHETIC	Homo sapiens	ILLUMINA	ERP001824
EOMES_TGTAAA30NAAG_AI_5	30	SAMEA1693146	2013-01-18	ERX168993	2013-01-18T09:17:08Z	2012-11-15T11:56:17Z	Illumina HiSeq 2000	other	EOMES_TGTAAA30NAAG_AI_5	2013-01-18	24	14	2013-01-18	ERR194304	ERS190984	ERS190984	SAMEA1693146 ERS190984	EOMES_TGTAAA30NAAG_AI_5	OTHER	PRJEB3289	KI-BN	public	sra	ncbi	KI-BN	public	0	SINGLE	SYNTHETIC	Homo sapiens	ILLUMINA	ERP001824
EOMES_TGTAAA30NAAG_AI_6	30	SAMEA1693128	2013-01-18	ERX168994	2013-01-18T09:17:08Z	2012-11-15T11:56:17Z	Illumina HiSeq 2000	other	EOMES_TGTAAA30NAAG_AI_6	2013-01-18	17	10	2013-01-18	ERR194305	ERS190985	ERS190985	SAMEA1693128 ERS190985	EOMES_TGTAAA30NAAG_AI_6	OTHER	PRJEB3289	KI-BN	public	sra	ncbi	KI-BN	public	0	SINGLE	SYNTHETIC	Homo sapiens	ILLUMINA	ERP001824
ESRRA_TGACGA30NGCA_AI_1	30	SAMEA1693121	2013-01-18	ERX168995	2013-01-18T09:17:08Z	2012-11-15T11:56:17Z	Illumina HiSeq 2000	other	ESRRA_TGACGA30NGCA_AI_1	2013-01-18	8	5	2013-01-18	ERR194306	ERS190986	ERS190986	SAMEA1693121 ERS190986	ESRRA_TGACGA30NGCA_AI_1	OTHER	PRJEB3289	KI-BN	public	sra	ncbi	KI-BN	public	0	SINGLE	SYNTHETIC	Homo sapiens	ILLUMINA	ERP001824
ESRRA_TGACGA30NGCA_AI_2	30	SAMEA1693103	2013-01-18	ERX168996	2013-01-18T09:17:08Z	2012-11-15T11:56:17Z	Illumina HiSeq 2000	other	ESRRA_TGACGA30NGCA_AI_2	2013-01-18	5	3	2013-01-18	ERR194307	ERS190987	ERS190987	SAMEA1693103 ERS190987	ESRRA_TGACGA30NGCA_AI_2	OTHER	PRJEB3289	KI-BN	public	sra	ncbi	KI-BN	public	0	SINGLE	SYNTHETIC	Homo sapiens	ILLUMINA	ERP001824
