Protein	UniPROBE Accession Number	Species
GST-CSL-NOTCH1	UP00486	Homo sapiens
Abd-B	UP00503	Drosophila melanogaster
Abf1	UP00452	Saccharomyces cerevisiae
ACA1_126960	UP00513	Acanthamoeba castellanii
AEL327Wp	UP00516	Ashbya gossypii
Aft1	UP00344	Saccharomyces cerevisiae
Ahctf1	UP01352	Mus musculus
Alx3	UP00108	Mus musculus
Alx4	UP00187	Mus musculus
AMAG_00796	UP00515	Allomyces macrogynus
AMAG_02766	UP00514	Allomyces macrogynus
ANAC019	UP00570	Arabidopsis thaliana
ANAC055	UP00571	Arabidopsis thaliana
ANAC092	UP00572	Arabidopsis thaliana
AncBcd	UP01486	N/A
AncZB	UP01485	N/A
ANID_04521	UP00518	Aspergillus nidulans
ANID_04985	UP00517	Aspergillus nidulans
Apt	UP01547	Drosophila melanogaster
Ar	UP01353	Mus musculus
Arid3a	UP00078	Mus musculus
Arid5a	UP00059	Mus musculus
Arid5b	UP01409	Danio rerio
Aro80	UP00329	Saccharomyces cerevisiae
Arx	UP00152	Mus musculus
ARX	UP00584	Homo sapiens
Ascl2	UP00099	Mus musculus
Asg1	UP00350	Saccharomyces cerevisiae
ATAF1	UP00573	Arabidopsis thaliana
Atf1	UP00020	Mus musculus
Atf3	UP01354	Mus musculus
Bap	UP00504	Drosophila melanogaster
Bapx1	UP00228	Mus musculus
Barhl1	UP00166	Mus musculus
Barhl2	UP00145	Mus musculus
Barx1	UP00181	Mus musculus
Barx2	UP00151	Mus musculus
Bas1	UP00355	Saccharomyces cerevisiae
Bbx	UP00012	Mus musculus
BCL11A	UP01464	Homo sapiens
BCL11B	UP01465	Homo sapiens
BCL6	UP00585	Homo sapiens
Bcl6b	UP00043	Mus musculus
BEAF-32	UP01546	Drosophila melanogaster
Bhlhb2	UP00050	Mus musculus
Bin	UP01556	Drosophila melanogaster
Bowl	UP01541	Drosophila melanogaster
Brk	UP01551	Drosophila melanogaster
Bsx	UP00138	Mus musculus
Cad1	UP00453	Saccharomyces cerevisiae
Cart1	UP00209	Mus musculus
Cbf1	UP00309	Saccharomyces cerevisiae
Cbf1	UP00397	Saccharomyces cerevisiae
