Q9ZPZ8_ARATH	Q9ZPZ8_ARATH
EAF1A_ARATH	EAF1A_ARATH
EAF1A_ARATH	EAF1B_ARATH
KAN4_ARATH	KAN4_ARATH
MYB12_ARATH	MYB12_ARATH
MYB12_ARATH	MYB11_ARATH
MYB12_ARATH	MY111_ARATH
MYB72_ARATH	MYB72_ARATH
MYB72_ARATH	MYB58_ARATH
MYB72_ARATH	MYB10_ARATH
MYB72_ARATH	MYB14_ARATH
MYB72_ARATH	MYB13_ARATH
PHLD_ARATH	PHLD_ARATH
PHLD_ARATH	PHL1_ARATH
TRB1_ARATH	TRB1_ARATH
TRB1_ARATH	TRB2_ARATH
TRB1_ARATH	TRB3_ARATH
APRR2_ARATH	APRR2_ARATH
MY120_ARATH	MY120_ARATH
MY120_ARATH	MYB97_ARATH
MB3R4_ARATH	MB3R4_ARATH
MB3R4_ARATH	MB3R1_ARATH
MYB73_ARATH	MYB73_ARATH
MYB73_ARATH	O22179_ARATH
MYB73_ARATH	MYB44_ARATH
MYB73_ARATH	MYB77_ARATH
PHL2_ARATH	PHL2_ARATH
PHL2_ARATH	PHL3_ARATH
PHL2_ARATH	PHLC_ARATH
APRR6_ARATH	APRR6_ARATH
Q8GXN7_ARATH	Q8GXN7_ARATH
Q8GXN7_ARATH	Q9LFB6_ARATH
Q8GXN7_ARATH	Q9FFJ9_ARATH
Q8GXN7_ARATH	Q9C773_ARATH
LAF1_ARATH	LAF1_ARATH
LAF1_ARATH	Q9LTJ5_ARATH
Q9LRU5_ARATH	Q9LRU5_ARATH
Q9LRU5_ARATH	Q9LK14_ARATH
Q9LRU5_ARATH	Q9T0G9_ARATH
Q9LRU5_ARATH	MYB27_ARATH
Q9LRU5_ARATH	MYB24_ARATH
MB3R5_ARATH	MB3R5_ARATH
MB3R5_ARATH	Q29PZ8_ARATH
MB3R5_ARATH	MB3R3_ARATH
Q9C9A5_ARATH	Q9C9A5_ARATH
Q8GYE4_ARATH	Q8GYE4_ARATH
EFM_ARATH	EFM_ARATH
LHY_ARATH	LHY_ARATH
LHY_ARATH	CCA1_ARATH
MYB4_ARATH	MYB4_ARATH
MYB4_ARATH	MYB6_ARATH
MYB4_ARATH	MYB8_ARATH
MYB4_ARATH	MYB7_ARATH
MYB4_ARATH	MYB3_ARATH
ARR1_ARATH	ARR1_ARATH
Q9SIZ5_ARATH	Q9SIZ5_ARATH
PHL5_ARATH	PHL5_ARATH
C0SVN2_ARATH	C0SVN2_ARATH
MAMYB_ARATH	MAMYB_ARATH
PHL6_ARATH	PHL6_ARATH
ARR11_ARATH	ARR11_ARATH
Q9SJJ0_ARATH	Q9SJJ0_ARATH
ETC2_ARATH	ETC2_ARATH
ETC2_ARATH	TCL2_ARATH
ETC2_ARATH	TRY_ARATH
ETC2_ARATH	TCL1_ARATH
ETC2_ARATH	ETC1_ARATH
ETC2_ARATH	CPC_ARATH
ETC2_ARATH	ETC3_ARATH
Q5XUY3_ARATH	Q5XUY3_ARATH
Q5XUY3_ARATH	Q9LMR2_ARATH
PHL7_ARATH	PHL7_ARATH
F4IDF1_ARATH	F4IDF1_ARATH
F4IDF1_ARATH	F4I7K3_ARATH
ARR12_ARATH	ARR12_ARATH
ARR12_ARATH	ARR10_ARATH
ARR12_ARATH	ARR14_ARATH
O64877_ARATH	O64877_ARATH
O64877_ARATH	Q93ZQ2_ARATH
Q9FLM7_ARATH	Q9FLM7_ARATH
Q9SPG7_ARATH	Q9SPG7_ARATH
Q9SPG7_ARATH	MYB20_ARATH
Q9SPG7_ARATH	MYB63_ARATH
Q9SPG7_ARATH	F4K6R6_ARATH
Q9SPG7_ARATH	MYB32_ARATH
PHL8_ARATH	PHL8_ARATH
Q6R0E4_ARATH	Q6R0E4_ARATH
F4JEH7_ARATH	F4JEH7_ARATH
MYB80_ARATH	MYB80_ARATH
PHR1_ARATH	PHR1_ARATH
PHR1_ARATH	PHL4_ARATH
F4IPY7_ARATH	F4IPY7_ARATH
Q84TG2_ARATH	Q84TG2_ARATH
Q84TG2_ARATH	KUA1_ARATH
Q84TG2_ARATH	Q9FJS9_ARATH
Q9SLH1_ARATH	Q9SLH1_ARATH
Q9SLH1_ARATH	MY104_ARATH
PIE1_ARATH	PIE1_ARATH
ARR18_ARATH	ARR18_ARATH
A8MRL4_ARATH	A8MRL4_ARATH
A8MRL4_ARATH	Q9SQY9_ARATH
A8MRL4_ARATH	Q9M0P7_ARATH
Q9LVT0_ARATH	Q9LVT0_ARATH
MYB48_ARATH	MYB48_ARATH
MYB48_ARATH	MYB59_ARATH
MYB82_ARATH	MYB82_ARATH
PTL_ARATH	PTL_ARATH
PTL_ARATH	F4J2I3_ARATH
ARR19_ARATH	ARR19_ARATH
Q9LPN9_ARATH	Q9LPN9_ARATH
Q9LT00_ARATH	Q9LT00_ARATH
Q9LT00_ARATH	SRM1_ARATH
MYB83_ARATH	MYB83_ARATH
RAX1_ARATH	RAX1_ARATH
RAX1_ARATH	RAX2_ARATH
ARR20_ARATH	ARR20_ARATH
Q9LDW5_ARATH	Q9LDW5_ARATH
Q9LDW5_ARATH	MYB1_ARATH
Q9LDW5_ARATH	MYB25_ARATH
F4J7J5_ARATH	F4J7J5_ARATH
TRP4_ARATH	TRP4_ARATH
TRP4_ARATH	TRP3_ARATH
ARR21_ARATH	ARR21_ARATH
ARR21_ARATH	ARR13_ARATH
A0A1P8B8R6_ARATH	A0A1P8B8R6_ARATH
A0A1P8B8R6_ARATH	Q9XEB2_ARATH
A0A1P8B8R6_ARATH	A0A1P8B772_ARATH
Q9LFH4_ARATH	Q9LFH4_ARATH
Q9SPH0_ARATH	Q9SPH0_ARATH
Q9SPH0_ARATH	Q9S754_ARATH
TRP5_ARATH	TRP5_ARATH
TRP5_ARATH	TRP1_ARATH
TRP5_ARATH	TRP2_ARATH
AS1_ARATH	AS1_ARATH
O49538_ARATH	O49538_ARATH
O49538_ARATH	RAX3_ARATH
O49538_ARATH	O49746_ARATH
O49538_ARATH	MYB87_ARATH
MYB51_ARATH	MYB51_ARATH
MYB51_ARATH	MY122_ARATH
MYB51_ARATH	MYB34_ARATH
MYB51_ARATH	MYB17_ARATH
MYB51_ARATH	Q9SPG1_ARATH
MYB51_ARATH	Q94GA6_ARATH
MYB51_ARATH	MYB41_ARATH
MYB51_ARATH	MYB5_ARATH
MYB51_ARATH	Q9SNW9_ARATH
RNJ_ARATH	RNJ_ARATH
TRP6_ARATH	TRP6_ARATH
ASR3_ARATH	ASR3_ARATH
MYB88_ARATH	MYB88_ARATH
MYB88_ARATH	MY124_ARATH
