"ID","Name","Species","GeneID","Family","Evidence"
"T000084_2.00","ABF1","Saccharomyces_cerevisiae","YKL112W","ABF1","D"
"T000262_2.00","AFT1","Saccharomyces_cerevisiae","YGL071W","AFT","D"
"T000263_2.00","AFT2","Saccharomyces_cerevisiae","YPL202C","AFT","D"
"T012462_2.00","MBP1","Saccharomyces_cerevisiae","YDL056W","APSES","D"
"T012465_2.00","PHD1","Saccharomyces_cerevisiae","YKL043W","APSES","D"
"T012466_2.00","SOK2","Saccharomyces_cerevisiae","YMR016C","APSES","D"
"T012463_2.00","SWI4","Saccharomyces_cerevisiae","YER111C","APSES","D"
"T012464_2.00","XBP1","Saccharomyces_cerevisiae","YIL101C","APSES","D"
"T017887_2.00","SUM1","Saccharomyces_cerevisiae","YDR310C","AT hook","D"
"T046367_2.00","CBF1","Saccharomyces_cerevisiae","YJR060W","bHLH","D"
"T046370_2.00","HMS1","Saccharomyces_cerevisiae","YOR032C","bHLH","D"
"T046365_2.00","INO2","Saccharomyces_cerevisiae","YDR123C","bHLH","D"
"T046369_2.00","INO4","Saccharomyces_cerevisiae","YOL108C","bHLH","D"
"T046366_2.00","PHO4","Saccharomyces_cerevisiae","YFR034C","bHLH","D"
"T046368_2.00","RTG1","Saccharomyces_cerevisiae","YOL067C","bHLH","D"
"T046364_2.00","RTG3","Saccharomyces_cerevisiae","YBL103C","bHLH","D"
"T046371_2.00","TYE7","Saccharomyces_cerevisiae","YOR344C","bHLH","D"
"T069492_2.00","ACA1","Saccharomyces_cerevisiae","YER045C","bZIP","D"
"T069503_2.00","ARR1","Saccharomyces_cerevisiae","YPR199C","bZIP","D"
"T069490_2.00","CAD1","Saccharomyces_cerevisiae","YDR423C","bZIP","D"
"T069502_2.00","CIN5","Saccharomyces_cerevisiae","YOR028C","bZIP","D"
"T069495_2.00","CST6","Saccharomyces_cerevisiae","YIL036W","bZIP","D"
"T069491_2.00","GCN4","Saccharomyces_cerevisiae","YEL009C","bZIP","D"
"T069493_2.00","HAC1","Saccharomyces_cerevisiae","YFL031W","bZIP","D"
"T069496_2.00","MET28","Saccharomyces_cerevisiae","YIR017C","bZIP","D"
"T069500_2.00","SKO1","Saccharomyces_cerevisiae","YNL167C","bZIP","D"
"T069499_2.00","YAP1","Saccharomyces_cerevisiae","YML007W","bZIP","D"
"T069494_2.00","YAP3","Saccharomyces_cerevisiae","YHL009C","bZIP","D"
"T069497_2.00","YAP5","Saccharomyces_cerevisiae","YIR018W","bZIP","D"
"T069489_2.00","YAP6","Saccharomyces_cerevisiae","YDR259C","bZIP","D"
"T069501_2.00","YAP7","Saccharomyces_cerevisiae","YOL028C","bZIP","D"
"T131846_2.00","ACE2","Saccharomyces_cerevisiae","YLR131C","C2H2 ZF","D"
"T131830_2.00","ADR1","Saccharomyces_cerevisiae","YDR216W","C2H2 ZF","D"
"T131854_2.00","AZF1","Saccharomyces_cerevisiae","YOR113W","C2H2 ZF","D"
"T131857_2.00","CMR3","Saccharomyces_cerevisiae","YPR013C","C2H2 ZF","D"
