DPF3_MOUSE	DPF3_MOUSE
A2BG91_MOUSE	A2BG91_MOUSE
A2BG91_MOUSE	D3Z5L4_MOUSE
A2BG91_MOUSE	A2ARX0_MOUSE
A2BG91_MOUSE	A0A1B0GT13_MOUSE
A2BG91_MOUSE	A2ARL5_MOUSE
A2BG91_MOUSE	Q7TMN8_MOUSE
A2BG91_MOUSE	A2ART0_MOUSE
A2BG91_MOUSE	D3Z5Y8_MOUSE
A2BG91_MOUSE	ZN431_MOUSE
A2BG91_MOUSE	A2ARR7_MOUSE
A2BG91_MOUSE	Q6NVD6_MOUSE
A2BG91_MOUSE	A2ARX1_MOUSE
A2BG91_MOUSE	A2ANU7_MOUSE
A2BG91_MOUSE	A0A087WNP5_MOUSE
A2BG91_MOUSE	A2ART4_MOUSE
A2BG91_MOUSE	A2BE23_MOUSE
A2BG91_MOUSE	A0A087WRL6_MOUSE
A2BG91_MOUSE	F7CEW8_MOUSE
A2BG91_MOUSE	F7CEW8_MOUSE
A2BG91_MOUSE	Q3TPQ7_MOUSE
A2BG91_MOUSE	F6R9A8_MOUSE
A2BG91_MOUSE	A2ANU6_MOUSE
A2BG91_MOUSE	A0A087WRH0_MOUSE
A2BG91_MOUSE	A0A1D5RM15_MOUSE
A2BG91_MOUSE	ZN120_MOUSE
A2BG91_MOUSE	A2ARW3_MOUSE
A2BG91_MOUSE	A2BFU6_MOUSE
A2BG91_MOUSE	A2BFU4_MOUSE
A2BG91_MOUSE	A2ARW1_MOUSE
A2BG91_MOUSE	A2AW66_MOUSE
A2BG91_MOUSE	E9Q6S4_MOUSE
A2BG91_MOUSE	A2ARR8_MOUSE
A2BG91_MOUSE	A2AHM2_MOUSE
A2BG91_MOUSE	A0A1Y7VK00_MOUSE
A2BG91_MOUSE	F7D043_MOUSE
A2BG91_MOUSE	A2ARW5_MOUSE
A2BG91_MOUSE	A2ARL4_MOUSE
A2BG91_MOUSE	G3UZB7_MOUSE
A2BG91_MOUSE	D3YYR3_MOUSE
A2BG91_MOUSE	F7AIG4_MOUSE
A2BG91_MOUSE	E9Q9K2_MOUSE
A2BG91_MOUSE	A2BFG4_MOUSE
A2BG91_MOUSE	A2ARR5_MOUSE
A2BG91_MOUSE	O88245_MOUSE
A2BG91_MOUSE	Q8BFS8_MOUSE
A2BG91_MOUSE	A0A087WSF4_MOUSE
A2BG91_MOUSE	L7N2E7_MOUSE
A2BG91_MOUSE	G3UY53_MOUSE
A2BG91_MOUSE	A2AE18_MOUSE
A2BG91_MOUSE	ZN250_MOUSE
A2BG91_MOUSE	ZN329_MOUSE
A2BG91_MOUSE	A0A087WPI5_MOUSE
A2BG91_MOUSE	Q9CY99_MOUSE
A2BG91_MOUSE	A2BFG8_MOUSE
A2BG91_MOUSE	B1AYE1_MOUSE
A2BG91_MOUSE	J3QPX0_MOUSE
A2BG91_MOUSE	E9Q1J0_MOUSE
A2BG91_MOUSE	F6T2D2_MOUSE
A2BG91_MOUSE	A2ARV7_MOUSE
A2BG91_MOUSE	A0A0J9YUI0_MOUSE
A2BG91_MOUSE	D6RJ82_MOUSE
A2BG91_MOUSE	A0A1D5RMC2_MOUSE
A2BG91_MOUSE	ZN322_MOUSE
A2BG91_MOUSE	ZFP82_MOUSE
A2BG91_MOUSE	ZFP14_MOUSE
A2BG91_MOUSE	D3Z614_MOUSE
A2BG91_MOUSE	G5E905_MOUSE
A2BG91_MOUSE	B8JJZ9_MOUSE
A2BG91_MOUSE	A0A571BE92_MOUSE
A2BG91_MOUSE	A0A0J9YU71_MOUSE
A2BG91_MOUSE	E9Q2S6_MOUSE
A2BG91_MOUSE	Q3UVF6_MOUSE
