ANDR_HUMAN	ANDR_HUMAN
ESR1_HUMAN	ESR1_HUMAN
ESR1_HUMAN	ESR2_HUMAN
PPARG_HUMAN	PPARG_HUMAN
PPARG_HUMAN	PPARA_HUMAN
PPARG_HUMAN	PPARD_HUMAN
RARA_HUMAN	RARA_HUMAN
RARA_HUMAN	RARB_HUMAN
RARA_HUMAN	RARG_HUMAN
ERR3_HUMAN	ERR3_HUMAN
ERR3_HUMAN	ERR2_HUMAN
ERR3_HUMAN	ERR1_HUMAN
RORA_HUMAN	RORA_HUMAN
RORA_HUMAN	RORG_HUMAN
RORA_HUMAN	RORB_HUMAN
HNF4A_HUMAN	HNF4A_HUMAN
HNF4A_HUMAN	HNF4G_HUMAN
NR1D1_HUMAN	NR1D1_HUMAN
NR1D1_HUMAN	NR1D2_HUMAN
RXRB_HUMAN	RXRB_HUMAN
RXRB_HUMAN	RXRG_HUMAN
RXRB_HUMAN	RXRA_HUMAN
RXRB_HUMAN	NR2F6_HUMAN
NR1H2_HUMAN	NR1H2_HUMAN
NR1H2_HUMAN	NR1H3_HUMAN
THA_HUMAN	THA_HUMAN
THA_HUMAN	THB_HUMAN
NR1H4_HUMAN	NR1H4_HUMAN
NR1I2_HUMAN	NR1I2_HUMAN
NR1I2_HUMAN	VDR_HUMAN
NR1I2_HUMAN	NR1I3_HUMAN
NR2C1_HUMAN	NR2C1_HUMAN
NR2C1_HUMAN	NR2C2_HUMAN
COT1_HUMAN	COT1_HUMAN
COT1_HUMAN	COT2_HUMAN
COT1_HUMAN	NR2E3_HUMAN
COT1_HUMAN	NR2E1_HUMAN
GCR_HUMAN	GCR_HUMAN
MCR_HUMAN	MCR_HUMAN
NR4A3_HUMAN	NR4A3_HUMAN
NR4A3_HUMAN	NR4A1_HUMAN
NR4A3_HUMAN	NR4A2_HUMAN
NR5A2_HUMAN	NR5A2_HUMAN
NR5A2_HUMAN	STF1_HUMAN
NR6A1_HUMAN	NR6A1_HUMAN
PRGR_HUMAN	PRGR_HUMAN
