ANDR_MOUSE	ANDR_MOUSE
PPARA_MOUSE	PPARA_MOUSE
PPARA_MOUSE	PPARD_MOUSE
PPARA_MOUSE	A0A0N4SV67_MOUSE
ESR1_MOUSE	ESR1_MOUSE
ESR1_MOUSE	ESR2_MOUSE
RARB_MOUSE	RARB_MOUSE
RARB_MOUSE	RARA_MOUSE
RARB_MOUSE	RARG_MOUSE
ERR3_MOUSE	ERR3_MOUSE
ERR3_MOUSE	ERR2_MOUSE
ERR3_MOUSE	ERR1_MOUSE
HNF4A_MOUSE	HNF4A_MOUSE
HNF4A_MOUSE	E9QPS1_MOUSE
RORA_MOUSE	RORA_MOUSE
RORA_MOUSE	RORG_MOUSE
RORA_MOUSE	RORB_MOUSE
NR1D1_MOUSE	NR1D1_MOUSE
NR1D1_MOUSE	NR1D2_MOUSE
NR1H2_MOUSE	NR1H2_MOUSE
NR1H2_MOUSE	NR1H3_MOUSE
RXRB_MOUSE	RXRB_MOUSE
RXRB_MOUSE	RXRA_MOUSE
RXRB_MOUSE	RXRG_MOUSE
RXRB_MOUSE	NR2F6_MOUSE
RXRB_MOUSE	COT2_MOUSE
RXRB_MOUSE	A0A286YD96_MOUSE
RXRB_MOUSE	NR2E3_MOUSE
RXRB_MOUSE	NR2E1_MOUSE
NR1H4_MOUSE	NR1H4_MOUSE
THA_MOUSE	THA_MOUSE
THA_MOUSE	THB_MOUSE
A0A0G2JDF2_MOUSE	A0A0G2JDF2_MOUSE
NR1I2_MOUSE	NR1I2_MOUSE
NR1I2_MOUSE	VDR_MOUSE
NR1I3_MOUSE	NR1I3_MOUSE
NR2C2_MOUSE	NR2C2_MOUSE
NR2C2_MOUSE	NR2C1_MOUSE
A0A494B9W1_MOUSE	A0A494B9W1_MOUSE
A3KN90_MOUSE	A3KN90_MOUSE
NR4A3_MOUSE	NR4A3_MOUSE
NR4A3_MOUSE	NR4A1_MOUSE
NR4A3_MOUSE	NR4A2_MOUSE
NR5A2_MOUSE	NR5A2_MOUSE
NR5A2_MOUSE	STF1_MOUSE
NR6A1_MOUSE	NR6A1_MOUSE
PRGR_MOUSE	PRGR_MOUSE
