Alias	Assay_Type	AvgSpotLen	BioSample	Description	ENA_FIRST_PUBLIC	Experiment	INSDC_first_public	INSDC_last_update	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	MBases	MBytes	Organism	ReleaseDate	Run	SRA_Sample	SRA_accession	Sample_Name	Title	BioProject	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	ENA_checklist	INSDC_center_name	INSDC_status	Library_Name	Platform	SRA_Study
ALX1_FL_1_KX_TACCAA40NTTA	SELEX	40	SAMEA3523002	HT-SELEX reads for the TF and selection cycle indicated in the name	2015-09-10	ERX1081074	2015-09-10T17:01:22Z	2018-03-09T13:28:28Z	0	Illumina HiSeq 2000	SINGLE	other	SYNTHETIC	2015-12-08	6	3	synthetic construct	2015-10-28	ERR1002050	ERS830151	ERS830151	SAMEA3523002 ERS830151	HT-SELEX sample ALX1_FL	PRJEB9797	DEPARTMENT OF BIOSCIENCES AND NUTRITION, KAROLINSK	public	sra	ncbi	ERC000011	KI-BN	public	unspecified	ILLUMINA	ERP010942
ALX1_FL_1_KX_TCCTTG40NGGT	SELEX	40	SAMEA3523003	mHT-SELEX reads for the TF and selection cycle indicated in the name	2015-09-10	ERX1081075	2015-09-10T17:01:23Z	2018-03-09T13:29:37Z	0	Illumina HiSeq 2000	SINGLE	other	SYNTHETIC	2015-12-08	6	3	synthetic construct	2015-10-28	ERR1002051	ERS830152	ERS830152	SAMEA3523003 ERS830152	mHT-SELEX sample ALX1_FL	PRJEB9797	DEPARTMENT OF BIOSCIENCES AND NUTRITION, KAROLINSK	public	sra	ncbi	ERC000011	KI-BN	public	unspecified	ILLUMINA	ERP010942
ALX1_FL_2_KX_TACCAA40NTTA	SELEX	40	SAMEA3523004	HT-SELEX reads for the TF and selection cycle indicated in the name	2015-09-10	ERX1081076	2015-09-10T17:01:23Z	2018-03-09T13:29:37Z	0	Illumina HiSeq 2000	SINGLE	other	SYNTHETIC	2015-12-08	4	2	synthetic construct	2015-10-28	ERR1002052	ERS830153	ERS830153	SAMEA3523004 ERS830153	HT-SELEX sample ALX1_FL	PRJEB9797	DEPARTMENT OF BIOSCIENCES AND NUTRITION, KAROLINSK	public	sra	ncbi	ERC000011	KI-BN	public	unspecified	ILLUMINA	ERP010942
ALX1_FL_2_KX_TCCTTG40NGGT	SELEX	40	SAMEA3523005	mHT-SELEX reads for the TF and selection cycle indicated in the name	2015-09-10	ERX1081077	2015-09-10T17:01:23Z	2018-03-09T13:30:35Z	0	Illumina HiSeq 2000	SINGLE	other	SYNTHETIC	2015-12-08	5	3	synthetic construct	2015-10-28	ERR1002053	ERS830154	ERS830154	SAMEA3523005 ERS830154	mHT-SELEX sample ALX1_FL	PRJEB9797	DEPARTMENT OF BIOSCIENCES AND NUTRITION, KAROLINSK	public	sra	ncbi	ERC000011	KI-BN	public	unspecified	ILLUMINA	ERP010942
ALX1_FL_3_KX_TACCAA40NTTA	SELEX	40	SAMEA3523006	HT-SELEX reads for the TF and selection cycle indicated in the name	2015-09-10	ERX1081078	2015-09-10T17:01:23Z	2018-03-09T13:29:37Z	0	Illumina HiSeq 2000	SINGLE	other	SYNTHETIC	2015-12-08	7	4	synthetic construct	2015-10-28	ERR1002054	ERS830155	ERS830155	SAMEA3523006 ERS830155	HT-SELEX sample ALX1_FL	PRJEB9797	DEPARTMENT OF BIOSCIENCES AND NUTRITION, KAROLINSK	public	sra	ncbi	ERC000011	KI-BN	public	unspecified	ILLUMINA	ERP010942
ALX1_FL_3_KX_TCCTTG40NGGT	SELEX	40	SAMEA3523007	mHT-SELEX reads for the TF and selection cycle indicated in the name	2015-09-10	ERX1081079	2015-09-10T17:01:23Z	2018-03-09T13:29:37Z	0	Illumina HiSeq 2000	SINGLE	other	SYNTHETIC	2015-12-08	10	6	synthetic construct	2015-10-28	ERR1002055	ERS830156	ERS830156	SAMEA3523007 ERS830156	mHT-SELEX sample ALX1_FL	PRJEB9797	DEPARTMENT OF BIOSCIENCES AND NUTRITION, KAROLINSK	public	sra	ncbi	ERC000011	KI-BN	public	unspecified	ILLUMINA	ERP010942
ALX1_FL_4_KX_TACCAA40NTTA	SELEX	40	SAMEA3523008	HT-SELEX reads for the TF and selection cycle indicated in the name	2015-09-10	ERX1081080	2015-09-10T17:01:23Z	2018-03-09T13:29:37Z	0	Illumina HiSeq 2000	SINGLE	other	SYNTHETIC	2015-12-08	12	7	synthetic construct	2015-10-28	ERR1002056	ERS830157	ERS830157	SAMEA3523008 ERS830157	HT-SELEX sample ALX1_FL	PRJEB9797	DEPARTMENT OF BIOSCIENCES AND NUTRITION, KAROLINSK	public	sra	ncbi	ERC000011	KI-BN	public	unspecified	ILLUMINA	ERP010942
ALX1_FL_4_KX_TCCTTG40NGGT	SELEX	40	SAMEA3523009	mHT-SELEX reads for the TF and selection cycle indicated in the name	2015-09-10	ERX1081081	2015-09-10T17:01:23Z	2018-03-09T13:29:37Z	0	Illumina HiSeq 2000	SINGLE	other	SYNTHETIC	2015-12-08	10	6	synthetic construct	2015-10-28	ERR1002057	ERS830158	ERS830158	SAMEA3523009 ERS830158	mHT-SELEX sample ALX1_FL	PRJEB9797	DEPARTMENT OF BIOSCIENCES AND NUTRITION, KAROLINSK	public	sra	ncbi	ERC000011	KI-BN	public	unspecified	ILLUMINA	ERP010942
ALX3_eDBD_1_KO_TGCATG40NATG	SELEX	40	SAMEA3523010	mHT-SELEX reads for the TF and selection cycle indicated in the name	2015-09-10	ERX1081082	2015-09-10T17:01:22Z	2018-03-09T13:28:28Z	0	Illumina HiSeq 2000	SINGLE	other	SYNTHETIC	2015-12-08	14	9	synthetic construct	2015-10-28	ERR1002058	ERS830159	ERS830159	SAMEA3523010 ERS830159	mHT-SELEX sample ALX3_eDBD	PRJEB9797	DEPARTMENT OF BIOSCIENCES AND NUTRITION, KAROLINSK	public	sra	ncbi	ERC000011	KI-BN	public	unspecified	ILLUMINA	ERP010942
ALX3_eDBD_1_KO_TGCTCC40NCCG	SELEX	40	SAMEA3523011	HT-SELEX reads for the TF and selection cycle indicated in the name	2015-09-10	ERX1081083	2015-09-10T17:01:23Z	2018-03-09T13:30:35Z	0	Illumina HiSeq 2000	SINGLE	other	SYNTHETIC	2015-12-08	15	9	synthetic construct	2015-10-28	ERR1002059	ERS830160	ERS830160	SAMEA3523011 ERS830160	HT-SELEX sample ALX3_eDBD	PRJEB9797	DEPARTMENT OF BIOSCIENCES AND NUTRITION, KAROLINSK	public	sra	ncbi	ERC000011	KI-BN	public	unspecified	ILLUMINA	ERP010942
ALX3_eDBD_2_KO_TGCATG40NATG	SELEX	40	SAMEA3523012	mHT-SELEX reads for the TF and selection cycle indicated in the name	2015-09-10	ERX1081084	2015-09-10T17:01:22Z	2018-03-09T13:28:28Z	0	Illumina HiSeq 2000	SINGLE	other	SYNTHETIC	2015-12-08	11	7	synthetic construct	2015-10-28	ERR1002060	ERS830161	ERS830161	SAMEA3523012 ERS830161	mHT-SELEX sample ALX3_eDBD	PRJEB9797	DEPARTMENT OF BIOSCIENCES AND NUTRITION, KAROLINSK	public	sra	ncbi	ERC000011	KI-BN	public	unspecified	ILLUMINA	ERP010942
ALX3_eDBD_2_KO_TGCTCC40NCCG	SELEX	40	SAMEA3523013	HT-SELEX reads for the TF and selection cycle indicated in the name	2015-09-10	ERX1081085	2015-09-10T17:01:22Z	2018-03-09T13:28:28Z	0	Illumina HiSeq 2000	SINGLE	other	SYNTHETIC	2015-12-08	14	9	synthetic construct	2015-10-28	ERR1002061	ERS830162	ERS830162	SAMEA3523013 ERS830162	HT-SELEX sample ALX3_eDBD	PRJEB9797	DEPARTMENT OF BIOSCIENCES AND NUTRITION, KAROLINSK	public	sra	ncbi	ERC000011	KI-BN	public	unspecified	ILLUMINA	ERP010942
ALX3_eDBD_3_KO_TGCATG40NATG	SELEX	40	SAMEA3523014	mHT-SELEX reads for the TF and selection cycle indicated in the name	2015-09-10	ERX1081086	2015-09-10T17:01:22Z	2018-03-09T13:28:28Z	0	Illumina HiSeq 2000	SINGLE	other	SYNTHETIC	2015-12-08	16	10	synthetic construct	2015-10-28	ERR1002062	ERS830163	ERS830163	SAMEA3523014 ERS830163	mHT-SELEX sample ALX3_eDBD	PRJEB9797	DEPARTMENT OF BIOSCIENCES AND NUTRITION, KAROLINSK	public	sra	ncbi	ERC000011	KI-BN	public	unspecified	ILLUMINA	ERP010942
ALX3_eDBD_3_KO_TGCTCC40NCCG	SELEX	40	SAMEA3523015	HT-SELEX reads for the TF and selection cycle indicated in the name	2015-09-10	ERX1081087	2015-09-10T17:01:23Z	2018-03-09T13:29:37Z	0	Illumina HiSeq 2000	SINGLE	other	SYNTHETIC	2015-12-08	18	11	synthetic construct	2015-10-28	ERR1002063	ERS830164	ERS830164	SAMEA3523015 ERS830164	HT-SELEX sample ALX3_eDBD	PRJEB9797	DEPARTMENT OF BIOSCIENCES AND NUTRITION, KAROLINSK	public	sra	ncbi	ERC000011	KI-BN	public	unspecified	ILLUMINA	ERP010942
ALX3_eDBD_4_KO_TGCATG40NATG	SELEX	40	SAMEA3523016	mHT-SELEX reads for the TF and selection cycle indicated in the name	2015-09-10	ERX1081088	2015-09-10T17:01:23Z	2018-03-09T13:29:39Z	0	Illumina HiSeq 2000	SINGLE	other	SYNTHETIC	2015-12-08	9	5	synthetic construct	2015-10-28	ERR1002064	ERS830165	ERS830165	SAMEA3523016 ERS830165	mHT-SELEX sample ALX3_eDBD	PRJEB9797	DEPARTMENT OF BIOSCIENCES AND NUTRITION, KAROLINSK	public	sra	ncbi	ERC000011	KI-BN	public	unspecified	ILLUMINA	ERP010942
ALX3_eDBD_4_KO_TGCTCC40NCCG	SELEX	40	SAMEA3523017	HT-SELEX reads for the TF and selection cycle indicated in the name	2015-09-10	ERX1081089	2015-09-10T17:01:23Z	2018-03-09T13:29:39Z	0	Illumina HiSeq 2000	SINGLE	other	SYNTHETIC	2015-12-08	9	5	synthetic construct	2015-10-28	ERR1002065	ERS830166	ERS830166	SAMEA3523017 ERS830166	HT-SELEX sample ALX3_eDBD	PRJEB9797	DEPARTMENT OF BIOSCIENCES AND NUTRITION, KAROLINSK	public	sra	ncbi	ERC000011	KI-BN	public	unspecified	ILLUMINA	ERP010942
ALX3_FL_1_KV_TAGCTG40NCTA	SELEX	40	SAMEA3523018	HT-SELEX reads for the TF and selection cycle indicated in the name	2015-09-10	ERX1081090	2015-09-10T17:01:23Z	2018-03-09T13:29:39Z	0	Illumina HiSeq 2000	SINGLE	other	SYNTHETIC	2015-12-08	10	6	synthetic construct	2015-10-28	ERR1002066	ERS830167	ERS830167	SAMEA3523018 ERS830167	HT-SELEX sample ALX3_FL	PRJEB9797	DEPARTMENT OF BIOSCIENCES AND NUTRITION, KAROLINSK	public	sra	ncbi	ERC000011	KI-BN	public	unspecified	ILLUMINA	ERP010942
ALX3_FL_1_KV_TTGCGA40NGTA	SELEX	40	SAMEA3523019	mHT-SELEX reads for the TF and selection cycle indicated in the name	2015-09-10	ERX1081091	2015-09-10T17:01:22Z	2018-03-09T13:28:28Z	0	Illumina HiSeq 2000	SINGLE	other	SYNTHETIC	2015-12-08	15	9	synthetic construct	2015-10-28	ERR1002067	ERS830168	ERS830168	SAMEA3523019 ERS830168	mHT-SELEX sample ALX3_FL	PRJEB9797	DEPARTMENT OF BIOSCIENCES AND NUTRITION, KAROLINSK	public	sra	ncbi	ERC000011	KI-BN	public	unspecified	ILLUMINA	ERP010942
ALX3_FL_2_KV_TAGCTG40NCTA	SELEX	40	SAMEA3523020	HT-SELEX reads for the TF and selection cycle indicated in the name	2015-09-10	ERX1081092	2015-09-10T17:01:23Z	2018-03-09T13:30:35Z	0	Illumina HiSeq 2000	SINGLE	other	SYNTHETIC	2015-12-08	12	7	synthetic construct	2015-10-28	ERR1002068	ERS830169	ERS830169	SAMEA3523020 ERS830169	HT-SELEX sample ALX3_FL	PRJEB9797	DEPARTMENT OF BIOSCIENCES AND NUTRITION, KAROLINSK	public	sra	ncbi	ERC000011	KI-BN	public	unspecified	ILLUMINA	ERP010942
ALX3_FL_2_KV_TTGCGA40NGTA	SELEX	40	SAMEA3523021	mHT-SELEX reads for the TF and selection cycle indicated in the name	2015-09-10	ERX1081093	2015-09-10T17:01:23Z	2018-03-09T13:29:26Z	0	Illumina HiSeq 2000	SINGLE	other	SYNTHETIC	2015-12-08	12	7	synthetic construct	2015-10-28	ERR1002069	ERS830170	ERS830170	SAMEA3523021 ERS830170	mHT-SELEX sample ALX3_FL	PRJEB9797	DEPARTMENT OF BIOSCIENCES AND NUTRITION, KAROLINSK	public	sra	ncbi	ERC000011	KI-BN	public	unspecified	ILLUMINA	ERP010942
ALX3_FL_3_KV_TAGCTG40NCTA	SELEX	40	SAMEA3523022	HT-SELEX reads for the TF and selection cycle indicated in the name	2015-09-10	ERX1081094	2015-09-10T17:01:23Z	2018-03-09T13:29:26Z	0	Illumina HiSeq 2000	SINGLE	other	SYNTHETIC	2015-12-08	12	7	synthetic construct	2015-10-28	ERR1002070	ERS830171	ERS830171	SAMEA3523022 ERS830171	HT-SELEX sample ALX3_FL	PRJEB9797	DEPARTMENT OF BIOSCIENCES AND NUTRITION, KAROLINSK	public	sra	ncbi	ERC000011	KI-BN	public	unspecified	ILLUMINA	ERP010942
ALX3_FL_3_KV_TTGCGA40NGTA	SELEX	40	SAMEA3523023	mHT-SELEX reads for the TF and selection cycle indicated in the name	2015-09-10	ERX1081095	2015-09-10T17:01:23Z	2018-03-09T13:30:35Z	0	Illumina HiSeq 2000	SINGLE	other	SYNTHETIC	2015-12-08	16	9	synthetic construct	2015-10-28	ERR1002071	ERS830172	ERS830172	SAMEA3523023 ERS830172	mHT-SELEX sample ALX3_FL	PRJEB9797	DEPARTMENT OF BIOSCIENCES AND NUTRITION, KAROLINSK	public	sra	ncbi	ERC000011	KI-BN	public	unspecified	ILLUMINA	ERP010942
ALX3_FL_4_KV_TAGCTG40NCTA	SELEX	40	SAMEA3523024	HT-SELEX reads for the TF and selection cycle indicated in the name	2015-09-10	ERX1081096	2015-09-10T17:01:23Z	2018-03-09T13:30:35Z	0	Illumina HiSeq 2000	SINGLE	other	SYNTHETIC	2015-12-08	13	8	synthetic construct	2015-10-28	ERR1002072	ERS830173	ERS830173	SAMEA3523024 ERS830173	HT-SELEX sample ALX3_FL	PRJEB9797	DEPARTMENT OF BIOSCIENCES AND NUTRITION, KAROLINSK	public	sra	ncbi	ERC000011	KI-BN	public	unspecified	ILLUMINA	ERP010942
ALX3_FL_4_KV_TTGCGA40NGTA	SELEX	40	SAMEA3523025	mHT-SELEX reads for the TF and selection cycle indicated in the name	2015-09-10	ERX1081097	2015-09-10T17:01:22Z	2018-03-09T13:28:28Z	0	Illumina HiSeq 2000	SINGLE	other	SYNTHETIC	2015-12-08	12	7	synthetic construct	2015-10-28	ERR1002073	ERS830174	ERS830174	SAMEA3523025 ERS830174	mHT-SELEX sample ALX3_FL	PRJEB9797	DEPARTMENT OF BIOSCIENCES AND NUTRITION, KAROLINSK	public	sra	ncbi	ERC000011	KI-BN	public	unspecified	ILLUMINA	ERP010942
ALX4_eDBD_1_KW_TCTATT40NCAT	SELEX	40	SAMEA3523026	HT-SELEX reads for the TF and selection cycle indicated in the name	2015-09-10	ERX1081098	2015-09-10T17:01:23Z	2018-03-09T13:29:39Z	0	Illumina HiSeq 2000	SINGLE	other	SYNTHETIC	2015-12-08	11	8	synthetic construct	2015-10-28	ERR1002074	ERS830175	ERS830175	SAMEA3523026 ERS830175	HT-SELEX sample ALX4_eDBD	PRJEB9797	DEPARTMENT OF BIOSCIENCES AND NUTRITION, KAROLINSK	public	sra	ncbi	ERC000011	KI-BN	public	unspecified	ILLUMINA	ERP010942
ALX4_eDBD_1_KW_TGCGTA40NTCA	SELEX	40	SAMEA3523027	mHT-SELEX reads for the TF and selection cycle indicated in the name	2015-09-10	ERX1081099	2015-09-10T17:01:23Z	2018-03-09T13:29:26Z	0	Illumina HiSeq 2000	SINGLE	other	SYNTHETIC	2015-12-08	11	9	synthetic construct	2015-10-28	ERR1002075	ERS830176	ERS830176	SAMEA3523027 ERS830176	mHT-SELEX sample ALX4_eDBD	PRJEB9797	DEPARTMENT OF BIOSCIENCES AND NUTRITION, KAROLINSK	public	sra	ncbi	ERC000011	KI-BN	public	unspecified	ILLUMINA	ERP010942
ALX4_eDBD_2_KW_TCTATT40NCAT	SELEX	40	SAMEA3523028	HT-SELEX reads for the TF and selection cycle indicated in the name	2015-09-10	ERX1081100	2015-09-10T17:01:23Z	2018-03-09T13:29:26Z	0	Illumina HiSeq 2000	SINGLE	other	SYNTHETIC	2015-12-08	8	6	synthetic construct	2015-10-28	ERR1002076	ERS830177	ERS830177	SAMEA3523028 ERS830177	HT-SELEX sample ALX4_eDBD	PRJEB9797	DEPARTMENT OF BIOSCIENCES AND NUTRITION, KAROLINSK	public	sra	ncbi	ERC000011	KI-BN	public	unspecified	ILLUMINA	ERP010942
ALX4_eDBD_2_KW_TGCGTA40NTCA	SELEX	40	SAMEA3523029	mHT-SELEX reads for the TF and selection cycle indicated in the name	2015-09-10	ERX1081101	2015-09-10T17:01:22Z	2018-03-09T13:28:28Z	0	Illumina HiSeq 2000	SINGLE	other	SYNTHETIC	2015-12-08	8	6	synthetic construct	2015-10-28	ERR1002077	ERS830178	ERS830178	SAMEA3523029 ERS830178	mHT-SELEX sample ALX4_eDBD	PRJEB9797	DEPARTMENT OF BIOSCIENCES AND NUTRITION, KAROLINSK	public	sra	ncbi	ERC000011	KI-BN	public	unspecified	ILLUMINA	ERP010942
ALX4_eDBD_3_KW_TCTATT40NCAT	SELEX	40	SAMEA3523030	HT-SELEX reads for the TF and selection cycle indicated in the name	2015-09-10	ERX1081102	2015-09-10T17:01:23Z	2018-03-09T13:29:39Z	0	Illumina HiSeq 2000	SINGLE	other	SYNTHETIC	2015-12-08	16	10	synthetic construct	2015-10-28	ERR1002078	ERS830179	ERS830179	SAMEA3523030 ERS830179	HT-SELEX sample ALX4_eDBD	PRJEB9797	DEPARTMENT OF BIOSCIENCES AND NUTRITION, KAROLINSK	public	sra	ncbi	ERC000011	KI-BN	public	unspecified	ILLUMINA	ERP010942
ALX4_eDBD_3_KW_TGCGTA40NTCA	SELEX	40	SAMEA3523031	mHT-SELEX reads for the TF and selection cycle indicated in the name	2015-09-10	ERX1081103	2015-09-10T17:01:23Z	2018-03-09T13:29:39Z	0	Illumina HiSeq 2000	SINGLE	other	SYNTHETIC	2015-12-08	21	13	synthetic construct	2015-10-28	ERR1002079	ERS830180	ERS830180	SAMEA3523031 ERS830180	mHT-SELEX sample ALX4_eDBD	PRJEB9797	DEPARTMENT OF BIOSCIENCES AND NUTRITION, KAROLINSK	public	sra	ncbi	ERC000011	KI-BN	public	unspecified	ILLUMINA	ERP010942
ALX4_eDBD_4_KW_TCTATT40NCAT	SELEX	40	SAMEA3523032	HT-SELEX reads for the TF and selection cycle indicated in the name	2015-09-10	ERX1081104	2015-09-10T17:01:23Z	2018-03-09T13:29:39Z	0	Illumina HiSeq 2000	SINGLE	other	SYNTHETIC	2015-12-08	15	9	synthetic construct	2015-10-28	ERR1002080	ERS830181	ERS830181	SAMEA3523032 ERS830181	HT-SELEX sample ALX4_eDBD	PRJEB9797	DEPARTMENT OF BIOSCIENCES AND NUTRITION, KAROLINSK	public	sra	ncbi	ERC000011	KI-BN	public	unspecified	ILLUMINA	ERP010942
ALX4_eDBD_4_KW_TGCGTA40NTCA	SELEX	40	SAMEA3523033	mHT-SELEX reads for the TF and selection cycle indicated in the name	2015-09-10	ERX1081105	2015-09-10T17:01:23Z	2018-03-09T13:29:39Z	0	Illumina HiSeq 2000	SINGLE	other	SYNTHETIC	2015-12-08	13	7	synthetic construct	2015-10-28	ERR1002081	ERS830182	ERS830182	SAMEA3523033 ERS830182	mHT-SELEX sample ALX4_eDBD	PRJEB9797	DEPARTMENT OF BIOSCIENCES AND NUTRITION, KAROLINSK	public	sra	ncbi	ERC000011	KI-BN	public	unspecified	ILLUMINA	ERP010942
ARGFX_eDBD_1_KO_TGGTCC40NTTC	SELEX	40	SAMEA3523034	mHT-SELEX reads for the TF and selection cycle indicated in the name	2015-09-10	ERX1081106	2015-09-10T17:01:23Z	2018-03-09T13:29:39Z	0	Illumina HiSeq 2000	SINGLE	other	SYNTHETIC	2015-12-08	9	6	synthetic construct	2015-10-28	ERR1002082	ERS830183	ERS830183	SAMEA3523034 ERS830183	mHT-SELEX sample ARGFX_eDBD	PRJEB9797	DEPARTMENT OF BIOSCIENCES AND NUTRITION, KAROLINSK	public	sra	ncbi	ERC000011	KI-BN	public	unspecified	ILLUMINA	ERP010942
ARGFX_eDBD_1_KO_TGGTTA40NTAC	SELEX	40	SAMEA3523035	HT-SELEX reads for the TF and selection cycle indicated in the name	2015-09-10	ERX1081107	2015-09-10T17:01:23Z	2018-03-09T13:29:26Z	0	Illumina HiSeq 2000	SINGLE	other	SYNTHETIC	2015-12-08	9	5	synthetic construct	2015-10-28	ERR1002083	ERS830184	ERS830184	SAMEA3523035 ERS830184	HT-SELEX sample ARGFX_eDBD	PRJEB9797	DEPARTMENT OF BIOSCIENCES AND NUTRITION, KAROLINSK	public	sra	ncbi	ERC000011	KI-BN	public	unspecified	ILLUMINA	ERP010942
ARGFX_eDBD_2_KO_TGGTCC40NTTC	SELEX	40	SAMEA3523036	mHT-SELEX reads for the TF and selection cycle indicated in the name	2015-09-10	ERX1081108	2015-09-10T17:01:23Z	2018-03-09T13:29:26Z	0	Illumina HiSeq 2000	SINGLE	other	SYNTHETIC	2015-12-08	8	5	synthetic construct	2015-10-28	ERR1002084	ERS830185	ERS830185	SAMEA3523036 ERS830185	mHT-SELEX sample ARGFX_eDBD	PRJEB9797	DEPARTMENT OF BIOSCIENCES AND NUTRITION, KAROLINSK	public	sra	ncbi	ERC000011	KI-BN	public	unspecified	ILLUMINA	ERP010942
ARGFX_eDBD_2_KO_TGGTTA40NTAC	SELEX	40	SAMEA3523037	HT-SELEX reads for the TF and selection cycle indicated in the name	2015-09-10	ERX1081109	2015-09-10T17:01:23Z	2018-03-09T13:29:26Z	0	Illumina HiSeq 2000	SINGLE	other	SYNTHETIC	2015-12-08	6	4	synthetic construct	2015-10-28	ERR1002085	ERS830186	ERS830186	SAMEA3523037 ERS830186	HT-SELEX sample ARGFX_eDBD	PRJEB9797	DEPARTMENT OF BIOSCIENCES AND NUTRITION, KAROLINSK	public	sra	ncbi	ERC000011	KI-BN	public	unspecified	ILLUMINA	ERP010942
ARGFX_eDBD_3_KO_TGGTCC40NTTC	SELEX	40	SAMEA3523038	mHT-SELEX reads for the TF and selection cycle indicated in the name	2015-09-10	ERX1081110	2015-09-10T17:01:23Z	2018-03-09T13:29:39Z	0	Illumina HiSeq 2000	SINGLE	other	SYNTHETIC	2015-12-08	14	9	synthetic construct	2015-10-28	ERR1002086	ERS830187	ERS830187	SAMEA3523038 ERS830187	mHT-SELEX sample ARGFX_eDBD	PRJEB9797	DEPARTMENT OF BIOSCIENCES AND NUTRITION, KAROLINSK	public	sra	ncbi	ERC000011	KI-BN	public	unspecified	ILLUMINA	ERP010942
ARGFX_eDBD_3_KO_TGGTTA40NTAC	SELEX	40	SAMEA3523039	HT-SELEX reads for the TF and selection cycle indicated in the name	2015-09-10	ERX1081111	2015-09-10T17:01:23Z	2018-03-09T13:30:35Z	0	Illumina HiSeq 2000	SINGLE	other	SYNTHETIC	2015-12-08	5	3	synthetic construct	2015-10-28	ERR1002087	ERS830188	ERS830188	SAMEA3523039 ERS830188	HT-SELEX sample ARGFX_eDBD	PRJEB9797	DEPARTMENT OF BIOSCIENCES AND NUTRITION, KAROLINSK	public	sra	ncbi	ERC000011	KI-BN	public	unspecified	ILLUMINA	ERP010942
ARGFX_eDBD_4_KO_TGGTCC40NTTC	SELEX	40	SAMEA3523040	mHT-SELEX reads for the TF and selection cycle indicated in the name	2015-09-10	ERX1081112	2015-09-10T17:01:23Z	2018-03-09T13:29:26Z	0	Illumina HiSeq 2000	SINGLE	other	SYNTHETIC	2015-12-08	6	3	synthetic construct	2015-10-28	ERR1002088	ERS830189	ERS830189	SAMEA3523040 ERS830189	mHT-SELEX sample ARGFX_eDBD	PRJEB9797	DEPARTMENT OF BIOSCIENCES AND NUTRITION, KAROLINSK	public	sra	ncbi	ERC000011	KI-BN	public	unspecified	ILLUMINA	ERP010942
