"ID","Name","Species","GeneID","Family","Evidence"
"T000534_2.00","ABR1","Arabidopsis_thaliana","AT5G64750","AP2","D"
"T000507_2.00","AIL6","Arabidopsis_thaliana","AT5G10510","AP2","D"
"T000536_2.00","AIL7","Arabidopsis_thaliana","AT5G65510","AP2","D"
"T000502_2.00","ANT","Arabidopsis_thaliana","AT4G37750","AP2","D"
"T000431_2.00","AT1G63040","Arabidopsis_thaliana","AT1G63040","AP2","D"
"T000453_2.00","AT2G33710","Arabidopsis_thaliana","AT2G33710","AP2","D"
"T000469_2.00","AT3G16280","Arabidopsis_thaliana","AT3G16280","AP2","D"
"T000535_2.00","AT5G65130","Arabidopsis_thaliana","AT5G65130","AP2","D"
"T000491_2.00","CRF2","Arabidopsis_thaliana","AT4G23750","AP2","D"
"T000528_2.00","CRF3","Arabidopsis_thaliana","AT5G53290","AP2","D"
"T000495_2.00","CRF4","Arabidopsis_thaliana","AT4G27950","AP2","D"
"T000493_2.00","DREB1A","Arabidopsis_thaliana","AT4G25480","AP2","D"
"T000494_2.00","DREB1B","Arabidopsis_thaliana","AT4G25490","AP2","D"
"T000492_2.00","DREB1C","Arabidopsis_thaliana","AT4G25470","AP2","D"
"T000526_2.00","DREB1D","Arabidopsis_thaliana","AT5G51990","AP2","D"
"T000430_2.00","DREB1E","Arabidopsis_thaliana","AT1G63030","AP2","D"
"T000404_2.00","DREB1F","Arabidopsis_thaliana","AT1G12610","AP2","D"
"T000504_2.00","DREB2A","Arabidopsis_thaliana","AT5G05410","AP2","D"
"T000459_2.00","DREB2C","Arabidopsis_thaliana","AT2G40340","AP2","D"
"T000441_2.00","DREB2D","Arabidopsis_thaliana","AT1G75490","AP2","D"
"T000456_2.00","DREB2E","Arabidopsis_thaliana","AT2G38340","AP2","D"
"T000480_2.00","DREB2F","Arabidopsis_thaliana","AT3G57600","AP2","D"
"T000513_2.00","DREB2G","Arabidopsis_thaliana","AT5G18450","AP2","D"
"T000517_2.00","ERF003","Arabidopsis_thaliana","AT5G25190","AP2","D"
"T000449_2.00","ERF008","Arabidopsis_thaliana","AT2G23340","AP2","D"
"T000539_2.00","ERF010","Arabidopsis_thaliana","AT5G67190","AP2","D"
"T000477_2.00","ERF011","Arabidopsis_thaliana","AT3G50260","AP2","D"
"T000411_2.00","ERF012","Arabidopsis_thaliana","AT1G21910","AP2","D"
"T000443_2.00","ERF013","Arabidopsis_thaliana","AT1G77640","AP2","D"
"T000423_2.00","ERF014","Arabidopsis_thaliana","AT1G44830","AP2","D"
"T000497_2.00","ERF015","Arabidopsis_thaliana","AT4G31060","AP2","D"
"T000410_2.00","ERF017","Arabidopsis_thaliana","AT1G19210","AP2","D"
"T000440_2.00","ERF018","Arabidopsis_thaliana","AT1G74930","AP2","D"
"T000413_2.00","ERF019","Arabidopsis_thaliana","AT1G22810","AP2","D"
"T000436_2.00","ERF021","Arabidopsis_thaliana","AT1G71450","AP2","D"
"T000400_2.00","ERF023","Arabidopsis_thaliana","AT1G01250","AP2","D"
"T000455_2.00","ERF024","Arabidopsis_thaliana","AT2G36450","AP2","D"
"T000527_2.00","ERF025","Arabidopsis_thaliana","AT5G52020","AP2","D"
"T000405_2.00","ERF027","Arabidopsis_thaliana","AT1G12630","AP2","D"
"T000463_2.00","ERF034","Arabidopsis_thaliana","AT2G44940","AP2","D"
"T000481_2.00","ERF035","Arabidopsis_thaliana","AT3G60490","AP2","D"
"T000442_2.00","ERF037","Arabidopsis_thaliana","AT1G77200","AP2","D"
"T000454_2.00","ERF038","Arabidopsis_thaliana","AT2G35700","AP2","D"
"T000487_2.00","ERF039","Arabidopsis_thaliana","AT4G16750","AP2","D"
"T000498_2.00","ERF043","Arabidopsis_thaliana","AT4G32800","AP2","D"
"T000496_2.00","ERF054","Arabidopsis_thaliana","AT4G28140","AP2","D"
"T000421_2.00","ERF055","Arabidopsis_thaliana","AT1G36060","AP2","D"
"T000414_2.00","ERF069","Arabidopsis_thaliana","AT1G22985","AP2","D"
"T000514_2.00","ERF086","Arabidopsis_thaliana","AT5G18560","AP2","D"
"T000417_2.00","ERF087","Arabidopsis_thaliana","AT1G28160","AP2","D"
"T000490_2.00","ERF091","Arabidopsis_thaliana","AT4G18450","AP2","D"
"T000403_2.00","ERF094","Arabidopsis_thaliana","AT1G06160","AP2","D"
"T000473_2.00","ERF095","Arabidopsis_thaliana","AT3G23220","AP2","D"
"T000520_2.00","ERF096","Arabidopsis_thaliana","AT5G43410","AP2","D"
"T000474_2.00","ERF098","Arabidopsis_thaliana","AT3G23230","AP2","D"
"T000401_2.00","ERF10","Arabidopsis_thaliana","AT1G03800","AP2","D"
"T000532_2.00","ERF104","Arabidopsis_thaliana","AT5G61600","AP2","D"
"T000525_2.00","ERF105","Arabidopsis_thaliana","AT5G51190","AP2","D"
"T000506_2.00","ERF106","Arabidopsis_thaliana","AT5G07580","AP2","D"
"T000499_2.00","ERF109","Arabidopsis_thaliana","AT4G34410","AP2","D"
"T000419_2.00","ERF11","Arabidopsis_thaliana","AT1G28370","AP2","D"
"T000510_2.00","ERF113","Arabidopsis_thaliana","AT5G13330","AP2","D"
"T000505_2.00","ERF115","Arabidopsis_thaliana","AT5G07310","AP2","D"
"T000433_2.00","ERF118","Arabidopsis_thaliana","AT1G68550","AP2","D"
"T000476_2.00","ERF119","Arabidopsis_thaliana","AT3G25890","AP2","D"
"T000462_2.00","ERF13","Arabidopsis_thaliana","AT2G44840","AP2","D"
"T000402_2.00","ERF14","Arabidopsis_thaliana","AT1G04370","AP2","D"
"T000452_2.00","ERF15","Arabidopsis_thaliana","AT2G31230","AP2","D"
"T000489_2.00","ERF1A","Arabidopsis_thaliana","AT4G17500","AP2","D"
"T000475_2.00","ERF1B","Arabidopsis_thaliana","AT3G23240","AP2","D"
"T000522_2.00","ERF2","Arabidopsis_thaliana","AT5G47220","AP2","D"
"T000426_2.00","ERF3","Arabidopsis_thaliana","AT1G50640","AP2","D"
"T000468_2.00","ERF4","Arabidopsis_thaliana","AT3G15210","AP2","D"
"T000523_2.00","ERF5","Arabidopsis_thaliana","AT5G47230","AP2","D"
"T000488_2.00","ERF6","Arabidopsis_thaliana","AT4G17490","AP2","D"
"T000471_2.00","ERF7","Arabidopsis_thaliana","AT3G20310","AP2","D"
"T000428_2.00","ERF8","Arabidopsis_thaliana","AT1G53170","AP2","D"
"T000521_2.00","ERF9","Arabidopsis_thaliana","AT5G44210","AP2","D"
"T000438_2.00","HRE1","Arabidopsis_thaliana","AT1G72360","AP2","D"
"T000511_2.00","LEP","Arabidopsis_thaliana","AT5G13910","AP2","D"
"T000472_2.00","PLT1","Arabidopsis_thaliana","AT3G20840","AP2","D"
"T000424_2.00","RAP2-1","Arabidopsis_thaliana","AT1G46768","AP2","D"
"T000500_2.00","RAP2-10","Arabidopsis_thaliana","AT4G36900","AP2","D"
"T000515_2.00","RAP2-11","Arabidopsis_thaliana","AT5G19790","AP2","D"
"T000429_2.00","RAP2-12","Arabidopsis_thaliana","AT1G53910","AP2","D"
"T000467_2.00","RAP2-2","Arabidopsis_thaliana","AT3G14230","AP2","D"
"T000470_2.00","RAP2-3","Arabidopsis_thaliana","AT3G16770","AP2","D"
"T000444_2.00","RAP2-4","Arabidopsis_thaliana","AT1G78080","AP2","D"
"T000422_2.00","RAP2-6","Arabidopsis_thaliana","AT1G43160","AP2","D"
"T000483_2.00","RAP2-9","Arabidopsis_thaliana","AT4G06746","AP2","D"
"T000451_2.00","RAP2.7","Arabidopsis_thaliana","AT2G28550","AP2","D"
"T000434_2.00","RAV2","Arabidopsis_thaliana","AT1G68840","AP2","D"
"T000508_2.00","SHN2","Arabidopsis_thaliana","AT5G11190","AP2","D"
"T000479_2.00","SMZ","Arabidopsis_thaliana","AT3G54990","AP2","D"
"T000416_2.00","TEM1","Arabidopsis_thaliana","AT1G25560","AP2","D"
"T000519_2.00","TINY","Arabidopsis_thaliana","AT5G25810","AP2","D"
"T000530_2.00","TOE2","Arabidopsis_thaliana","AT5G60120","AP2","D"
"T000408_2.00","WIN1","Arabidopsis_thaliana","AT1G15360","AP2","D"
"T010405_2.00","ARF14","Arabidopsis_thaliana","AT3G25730","AP2,B3","D"
"T010404_2.00","RAV1","Arabidopsis_thaliana","AT1G13260","AP2,B3","D"
"T014152_2.00","ARID3","Arabidopsis_thaliana","AT2G17410","ARID/BRIGHT","D"
"T014149_2.00","ARID6","Arabidopsis_thaliana","AT1G20910","ARID/BRIGHT","D"
"T017007_2.00","HMGB10","Arabidopsis_thaliana","AT3G13350","ARID/BRIGHT,Sox","D"
"T017004_2.00","HMGB15","Arabidopsis_thaliana","AT1G04880","ARID/BRIGHT,Sox","D"
"T017006_2.00","HMGB9","Arabidopsis_thaliana","AT1G76110","ARID/BRIGHT,Sox","D"
"T017227_2.00","AHL13","Arabidopsis_thaliana","AT4G17950","AT hook","D"
"T017223_2.00","HMGA","Arabidopsis_thaliana","AT1G14900","AT hook","D"
"T018453_2.00","ARF16","Arabidopsis_thaliana","AT4G30080","B3","D"
"T018487_2.00","ARF2","Arabidopsis_thaliana","AT5G62000","B3","D"
"T018424_2.00","ARF3","Arabidopsis_thaliana","AT2G33860","B3","D"
