KAT7_HUMAN	KAT7_HUMAN
LMBL1_HUMAN	LMBL1_HUMAN
LMBL1_HUMAN	LMBL3_HUMAN
LMBL1_HUMAN	LMBL4_HUMAN
MYT1L_HUMAN	MYT1L_HUMAN
MYT1L_HUMAN	MYT1_HUMAN
MYT1L_HUMAN	ST18_HUMAN
