EIL3_ARATH	EIL3_ARATH
EIL5_ARATH	EIL5_ARATH
EIL5_ARATH	EIL4_ARATH
EIN3_ARATH	EIN3_ARATH
EIN3_ARATH	EIL1_ARATH
EIN3_ARATH	EIL2_ARATH
