PAX2_HUMAN	PAX2_HUMAN
PAX6_HUMAN	PAX6_HUMAN
PAX7_HUMAN	PAX7_HUMAN
PAX7_HUMAN	PAX3_HUMAN
PAX7_HUMAN	PAX4_HUMAN
