DAF12_CAEEL	DAF12_CAEEL
NH124_CAEEL	NH124_CAEEL
NH124_CAEEL	O16609_CAEEL
O44668_CAEEL	O44668_CAEEL
O44668_CAEEL	O17020_CAEEL
O44668_CAEEL	Q9NAJ3_CAEEL
O44668_CAEEL	Q9XVK1_CAEEL
O01559_CAEEL	O01559_CAEEL
Q94411_CAEEL	Q94411_CAEEL
Q21372_CAEEL	Q21372_CAEEL
NHR62_CAEEL	NHR62_CAEEL
NH218_CAEEL	NH218_CAEEL
NH218_CAEEL	NH127_CAEEL
NHR34_CAEEL	NHR34_CAEEL
O62034_CAEEL	O62034_CAEEL
O62034_CAEEL	O62031_CAEEL
O62034_CAEEL	Q18395_CAEEL
O62034_CAEEL	Q18393_CAEEL
O62034_CAEEL	Q9XU11_CAEEL
O62034_CAEEL	O62496_CAEEL
O62034_CAEEL	NH150_CAEEL
G5ECI7_CAEEL	G5ECI7_CAEEL
G5ECI7_CAEEL	Q18391_CAEEL
G5EDJ0_CAEEL	G5EDJ0_CAEEL
O16388_CAEEL	O16388_CAEEL
O16388_CAEEL	O16389_CAEEL
O16388_CAEEL	O01564_CAEEL
O16388_CAEEL	O61942_CAEEL
NHR35_CAEEL	NHR35_CAEEL
HIZR1_CAEEL	HIZR1_CAEEL
NHR22_CAEEL	NHR22_CAEEL
Q18190_CAEEL	Q18190_CAEEL
Q19155_CAEEL	Q19155_CAEEL
NHR1_CAEEL	NHR1_CAEEL
H2L017_CAEEL	H2L017_CAEEL
H2L017_CAEEL	NH103_CAEEL
H2L017_CAEEL	NHR18_CAEEL
H2L017_CAEEL	NH134_CAEEL
H2L017_CAEEL	G5EFN9_CAEEL
H2L017_CAEEL	NHR96_CAEEL
H2L017_CAEEL	O16676_CAEEL
H2L017_CAEEL	O16677_CAEEL
A0A168H3P3_CAEEL	A0A168H3P3_CAEEL
Q22297_CAEEL	Q22297_CAEEL
Q20389_CAEEL	Q20389_CAEEL
H2KYJ7_CAEEL	H2KYJ7_CAEEL
NHR97_CAEEL	NHR97_CAEEL
NHR10_CAEEL	NHR10_CAEEL
NHR10_CAEEL	Q95ZS3_CAEEL
NHR10_CAEEL	H8ESE6_CAEEL
