E9PVJ5_MOUSE	E9PVJ5_MOUSE
TEAD2_MOUSE	TEAD2_MOUSE
TEAD2_MOUSE	A0A3F2YNR7_MOUSE
TEAD2_MOUSE	A0A0R4IZY5_MOUSE
