CRC_ARATH	CRC_ARATH
HMGB1_ARATH	HMGB1_ARATH
HMGB1_ARATH	HMGB3_ARATH
HMGB1_ARATH	HMGB2_ARATH
HMGB1_ARATH	HMGB4_ARATH
HMGB1_ARATH	HMGB5_ARATH
HMG14_ARATH	HMG14_ARATH
HMGB6_ARATH	HMGB6_ARATH
HMGB6_ARATH	HMG13_ARATH
HMGB7_ARATH	HMGB7_ARATH
HMGB7_ARATH	HMG12_ARATH
SSRP1_ARATH	SSRP1_ARATH
YAB3_ARATH	YAB3_ARATH
YAB3_ARATH	YAB1_ARATH
YAB3_ARATH	YAB2_ARATH
YAB3_ARATH	YAB5_ARATH
YAB4_ARATH	YAB4_ARATH
