KAT7_MOUSE	KAT7_MOUSE
LMBL1_MOUSE	LMBL1_MOUSE
LMBL3_MOUSE	LMBL3_MOUSE
LMBL3_MOUSE	A0A0A0MQK6_MOUSE
MYT1L_MOUSE	MYT1L_MOUSE
MYT1L_MOUSE	MYT1_MOUSE
MYT1L_MOUSE	ST18_MOUSE
