AEBP2_HUMAN	AEBP2_HUMAN
PRDM6_HUMAN	PRDM6_HUMAN
TSH3_HUMAN	TSH3_HUMAN
TSH3_HUMAN	TSH1_HUMAN
TSH3_HUMAN	TSH2_HUMAN
ZBT44_HUMAN	ZBT44_HUMAN
ZFP91_HUMAN	ZFP91_HUMAN
ZN131_HUMAN	ZN131_HUMAN
ZN239_HUMAN	ZN239_HUMAN
Z286B_HUMAN	Z286B_HUMAN
Z286B_HUMAN	Z286A_HUMAN
ZN467_HUMAN	ZN467_HUMAN
ZN560_HUMAN	ZN560_HUMAN
ZN560_HUMAN	ZN778_HUMAN
ZN560_HUMAN	ZN805_HUMAN
ZN560_HUMAN	ZN136_HUMAN
ZN560_HUMAN	ZN699_HUMAN
ZN560_HUMAN	ZN266_HUMAN
ZN560_HUMAN	ZN561_HUMAN
ZN560_HUMAN	ZN562_HUMAN
ZN641_HUMAN	ZN641_HUMAN
ZN687_HUMAN	ZN687_HUMAN
ANKZ1_HUMAN	ANKZ1_HUMAN
GLI4_HUMAN	GLI4_HUMAN
KLF4_HUMAN	KLF4_HUMAN
KLF4_HUMAN	KLF2_HUMAN
PRDM8_HUMAN	PRDM8_HUMAN
VEZF1_HUMAN	VEZF1_HUMAN
ZBT45_HUMAN	ZBT45_HUMAN
ZN197_HUMAN	ZN197_HUMAN
ZN197_HUMAN	ZN606_HUMAN
ZN197_HUMAN	ZN761_HUMAN
ZN197_HUMAN	ZN548_HUMAN
ZN197_HUMAN	ZN436_HUMAN
ZN197_HUMAN	ZSC12_HUMAN
ZN197_HUMAN	ZSC23_HUMAN
ZN197_HUMAN	ZKSC1_HUMAN
ZN197_HUMAN	ZKSC4_HUMAN
ZN197_HUMAN	ZKSC3_HUMAN
ZN197_HUMAN	ZN397_HUMAN
ZN197_HUMAN	ZN165_HUMAN
ZN197_HUMAN	ZSC31_HUMAN
ZN197_HUMAN	ZSC9_HUMAN
ZN197_HUMAN	ZSC30_HUMAN
ZN197_HUMAN	ZSC26_HUMAN
ZN197_HUMAN	ZSC21_HUMAN
ZN197_HUMAN	ZNF24_HUMAN
ZN197_HUMAN	ZN232_HUMAN
ZN197_HUMAN	ZSC16_HUMAN
ZN197_HUMAN	ZN396_HUMAN
ZN197_HUMAN	ZN287_HUMAN
ZN197_HUMAN	ZN540_HUMAN
ZN197_HUMAN	ZN383_HUMAN
ZN197_HUMAN	ZNF22_HUMAN
ZN197_HUMAN	ZN483_HUMAN
ZN197_HUMAN	ZN599_HUMAN
ZN197_HUMAN	ZN394_HUMAN
ZN197_HUMAN	ZSC22_HUMAN
ZN197_HUMAN	ZKSC7_HUMAN
ZN197_HUMAN	ZN852_HUMAN
ZN197_HUMAN	ZSCA2_HUMAN
ZN197_HUMAN	ZN263_HUMAN
ZN197_HUMAN	ZKSC8_HUMAN
ZN197_HUMAN	ZN449_HUMAN
ZN197_HUMAN	ZN500_HUMAN
ZN197_HUMAN	ZN213_HUMAN
Z518A_HUMAN	Z518A_HUMAN
ZN644_HUMAN	ZN644_HUMAN
ZN777_HUMAN	ZN777_HUMAN
ZN777_HUMAN	ZN398_HUMAN
ZN777_HUMAN	ZN282_HUMAN
ZN777_HUMAN	ZN783_HUMAN
ZN827_HUMAN	ZN827_HUMAN
ZSCA1_HUMAN	ZSCA1_HUMAN
ATMIN_HUMAN	ATMIN_HUMAN
KLF5_HUMAN	KLF5_HUMAN
PRDM9_HUMAN	PRDM9_HUMAN
PRDM9_HUMAN	ZN589_HUMAN
WT1_HUMAN	WT1_HUMAN
ZBT46_HUMAN	ZBT46_HUMAN
FOG1_HUMAN	FOG1_HUMAN
ZN292_HUMAN	ZN292_HUMAN
ZN469_HUMAN	ZN469_HUMAN
