F4KCN7_ARATH	F4KCN7_ARATH
NLP2_ARATH	NLP2_ARATH
NLP2_ARATH	NLP1_ARATH
NLP2_ARATH	NLP4_ARATH
NLP2_ARATH	NLP5_ARATH
NLP2_ARATH	NLP3_ARATH
NLP7_ARATH	NLP7_ARATH
NLP7_ARATH	NLP6_ARATH
NLP8_ARATH	NLP8_ARATH
NLP8_ARATH	NLP9_ARATH
RKD2_ARATH	RKD2_ARATH
RKD2_ARATH	RKD3_ARATH
RKD2_ARATH	RKD1_ARATH
RKD4_ARATH	RKD4_ARATH
RKD5_ARATH	RKD5_ARATH
