TF_ID	Gene_ID	Family
PK15652.1	PK15652.1	RAV
PK28088.1	PK28088.1	RAV
PK00072.1	PK00072.1	CAMTA
PK00080.1	PK00080.1	E2F/DP
PK00080.2	PK00080.2	E2F/DP
PK00134.1	PK00134.1	FAR1
PK00134.2	PK00134.2	FAR1
PK00134.3	PK00134.3	FAR1
PK00207.1	PK00207.1	bHLH
PK00238.1	PK00238.1	bHLH
PK00238.2	PK00238.2	bHLH
PK00254.1	PK00254.1	Dof
PK00315.1	PK00315.1	bZIP
PK00315.2	PK00315.2	bZIP
PK00339.1	PK00339.1	NAC
PK00381.1	PK00381.1	bHLH
PK00393.1	PK00393.1	SBP
PK00408.1	PK00408.1	WRKY
PK00408.2	PK00408.2	WRKY
PK00415.1	PK00415.1	FAR1
PK00466.1	PK00466.1	GRAS
PK00547.1	PK00547.1	NAC
PK00728.1	PK00728.1	Nin-like
PK00843.1	PK00843.1	bZIP
PK00869.1	PK00869.1	ZF-HD
PK00926.1	PK00926.1	NF-YA
PK00939.1	PK00939.1	bHLH
PK00972.1	PK00972.1	LBD
PK00983.1	PK00983.1	NF-X1
PK01032.1	PK01032.1	NF-YC
PK01043.1	PK01043.1	bHLH
PK01070.1	PK01070.1	NAC
PK01070.2	PK01070.2	NAC
PK01104.1	PK01104.1	NAC
PK01104.2	PK01104.2	NAC
PK01144.1	PK01144.1	Dof
PK01239.1	PK01239.1	EIL
PK01239.2	PK01239.2	EIL
PK01244.1	PK01244.1	FAR1
PK01325.1	PK01325.1	GATA
PK01364.1	PK01364.1	bHLH
PK01498.1	PK01498.1	bHLH
PK01503.1	PK01503.1	bHLH
PK01565.1	PK01565.1	ZF-HD
PK01612.1	PK01612.1	GRAS
PK01630.1	PK01630.1	bHLH
PK01662.1	PK01662.1	SRS
PK01802.1	PK01802.1	bHLH
PK01815.1	PK01815.1	bZIP
PK01836.1	PK01836.1	FAR1
PK01852.1	PK01852.1	GRAS
PK01854.1	PK01854.1	BBR-BPC
PK01904.1	PK01904.1	bHLH
PK01904.2	PK01904.2	bHLH
PK01904.3	PK01904.3	bHLH
PK02019.1	PK02019.1	NAC
PK02019.2	PK02019.2	NAC
PK02140.1	PK02140.1	SBP
PK02169.1	PK02169.1	bZIP
PK02169.2	PK02169.2	bZIP
PK02334.1	PK02334.1	bHLH
PK02343.1	PK02343.1	Trihelix
PK02366.1	PK02366.1	NAC
PK02366.2	PK02366.2	NAC
PK02366.3	PK02366.3	NAC
PK02366.4	PK02366.4	NAC
PK02428.1	PK02428.1	HSF
PK02473.1	PK02473.1	HSF
PK02473.3	PK02473.3	HSF
PK02473.4	PK02473.4	HSF
PK02698.1	PK02698.1	SRS
PK02707.1	PK02707.1	GRAS
PK02804.1	PK02804.1	NAC
PK03019.1	PK03019.1	SRS
PK03075.1	PK03075.1	LBD
PK03169.1	PK03169.1	LBD
PK03241.1	PK03241.1	bHLH
PK03289.1	PK03289.1	NF-X1
PK03289.2	PK03289.2	NF-X1
PK03289.3	PK03289.3	NF-X1
PK03295.1	PK03295.1	bHLH
PK03324.1	PK03324.1	WRKY
PK03341.1	PK03341.1	NAC
PK03412.1	PK03412.1	ZF-HD
PK03443.1	PK03443.1	BBR-BPC
PK03562.1	PK03562.1	HSF
PK03565.1	PK03565.1	SBP
PK03576.1	PK03576.1	bHLH
PK03582.1	PK03582.1	FAR1
PK03768.1	PK03768.1	bHLH
PK03779.1	PK03779.1	bZIP
PK03816.1	PK03816.1	Trihelix
PK03929.1	PK03929.1	Dof
PK03930.1	PK03930.1	BES1
PK03930.2	PK03930.2	BES1
PK03977.1	PK03977.1	LBD
PK04004.1	PK04004.1	CAMTA
PK04004.2	PK04004.2	CAMTA
PK04147.1	PK04147.1	GRAS
PK04169.3	PK04169.3	TCP
PK04189.1	PK04189.1	GATA
PK04210.1	PK04210.1	GATA
PK04229.1	PK04229.1	E2F/DP
PK04229.2	PK04229.2	E2F/DP
PK04257.1	PK04257.1	TCP
PK04276.1	PK04276.1	Trihelix
PK04475.1	PK04475.1	WRKY
PK04509.1	PK04509.1	bHLH
PK04548.1	PK04548.1	LBD
PK04573.1	PK04573.1	GRAS
PK04639.1	PK04639.1	FAR1
PK04639.2	PK04639.2	FAR1
PK04767.1	PK04767.1	bHLH
PK04832.1	PK04832.1	HSF
PK04856.1	PK04856.1	bHLH
PK04914.1	PK04914.1	Trihelix
PK04961.1	PK04961.1	NAC
PK04961.2	PK04961.2	NAC
PK05001.1	PK05001.1	bZIP
PK05128.1	PK05128.1	bZIP
PK05329.1	PK05329.1	FAR1
PK05401.1	PK05401.1	FAR1
PK05401.2	PK05401.2	FAR1
PK05432.1	PK05432.1	WRKY
PK05451.1	PK05451.1	bHLH
PK05478.1	PK05478.1	GRAS
PK05484.1	PK05484.1	ZF-HD
