id	antibody	tf_uniprot_id	tf_uniprot_ac	protein_names	gene_names	species	cell_title	treatment	experiment_type	GEO_GSE	GEO_GSM	ENCODE	PUBMED	control_antibody	control_GEO_GSE	control_GEO_GSM	control_ENCODE	FRiP_GEM	FRiP_MACS	FRiP_PICS	FRiP_SISSRS	estFragLen	NSC	RSC	NRF	PBC1	PBC2
EXP045650	Mod(mdg4)2.2 antibody (rabbit)	A0A0B4K6B8	A0A0B4K6B8_DROME	"Modifier of mdg4, isoform AE (EC 3.1.3.4)"	mod(mdg4) BcDNA:GH07769 BcDNA:SD03001 bpd CG15500 CG15501 CG15802 CG18151 CG7836 CG7859 CG8076 Dmel\\CG32491 Doom doom E(var)129 E(var)3-93D E(var)93D E-(var)3-93D E-var(3)1 E-var(3)3 l(3)03852 l(3)j2B7 l(3)L3101 mdg4 mnm mnn mod mod (mdg4) mod(gypsy) Mod(mdg 4) Mod(mdg 4)67.2 Mod(mdg)4 mod(mdg)4 mod(mdg-4) mod(mdg4 MOD(MDG4) Mod(mdg4) mod(mdg4)-58.8 Mod(mdg4)-67.2 mod(mdg4)-67.2 Mod(mdg4)2.2 MOD(MDG4)56.3 Mod(mdg4)67.2 mod(mdg4)67.2 mod-mdg4 MOD2.2 Mod2.2 mod2.2 Mod67.2 Mod[mdg4] mod[mdg4] modMDG4 pf-2 R5_3R:17176815..17177103 CG32491 Dmel_CG32491	Drosophila melanogaster	S2-DRSC (embryonic stem cells)	None	normal	GSE41354	GSM1015408	None	24055367	None	GSE41354	GSM1015412	None	0.417121677	0.634439644	0.303962113	0.353743484	355	1.901595	1.548488	0.579674	0.832438	10.397553
EXP045632	Anti Twist	P10627	TWIST_DROME	Protein twist	twi CG2956	Drosophila melanogaster	2-4 h embryo	strain: Oregon R	normal	GSE40664	GSM998949	None	23980024	None	GSE40664	GSM998954	None	0.089682661	0.214888226	0	0.014905231	228	1.189432	1.904688	0.67102	0.665192	2.887724
EXP045603	anti-Yki	Q45VV3	YAP1_DROME	Transcriptional coactivator yorkie (Protein yorkie) (Transcriptional coactivator YAP1 homolog)	yki CG4005	Drosophila melanogaster	whole organism (developmental stage: L3)	Iso1 strain; Wing imaginal disc	normal	GSE38594	GSM945893	None	23395637; 25017066	None	GSE38594	GSM945894; GSM945895	None	4.72E-05	0.090530089	0	0.002047315	5367	1.030636	3.382089	0.800762	0.817308	5.899219
EXP045606	anti-Trl (antii-GAF)	Q08605	GAGA_DROME	Transcription factor GAGA (Adh transcription factor 2) (GAGA factor) (GAF) (Neural conserved at 70F) (Trithorax-like protein)	Trl Adf-2 GAGA Nc70F TFGAGA CG33261	Drosophila melanogaster	whole organism (developmental stage: L3)	Iso1 strain; Wing imaginal disc	normal	GSE38594	GSM945891; GSM945892	None	23395637; 25017066	None	GSE38594	GSM945894; GSM945895	None	0.073488673	0.344874584	0	0.12232926	5292	1.138038	1.211187	0.693124	0.786206	5.480814
EXP045587	"polyclonal rabbit MSL3, crude serum"	P50536	MSL3_DROME	Protein male-specific lethal-3	msl-3 CG8631	Drosophila melanogaster	S2 cells	None	normal	GSE37864	GSM929151; GSM929152	None	23233545	none (input)	GSE37864	GSM929160; GSM929161; GSM929162	None	0.016340149	0.130795454	6.01E-05	0.009062863	1297	1.019045	0.7355759	0.535652	0.569471	2.518647
EXP045569	sc	P10084	AST4_DROME	Achaete-scute complex protein T4 (Protein scute)	sc sis-b T4 CG3827	Drosophila melanogaster	0-8 h embryos	ISO1 strain	normal	GSE34712	GSM853490	None	21430782	input	GSE34712	GSM851744	None	9.30E-06	0.014239803	5.93E-06	6.75E-05	5547	1.027337	-7.598187	0.732859	0.760083	4.608585
EXP045567	Fru	Q8IN81	FRU_DROME	Sex determination protein fruitless	fru BTB-VI CG14307	Drosophila melanogaster	0-8 h embryos	ISO1 strain	normal	GSE34710	GSM853488	None	21430782	input	GSE34710	GSM853489	None	0.000229242	0.09376004	0	0.002844096	5653	1.030757	-28.24779	0.728359	0.756232	4.505684
EXP045565	Ubx	P83949	UBX_DROME	Homeotic protein ultrabithorax	Ubx CG10388	Drosophila melanogaster	0-12 h embryos	"USP, transgenic"	normal	GSE34708	GSM853486	None	21430782	input	GSE34708	GSM851707	None	2.92E-05	0.081166716	1.76E-05	0.003443823	5376	1.045299	5.579708	0.843878	0.853346	7.20696
EXP045553	Ttk	P17789	TTKB_DROME	"Protein tramtrack, beta isoform (Repressor protein fushi tarazu) (Tramtrack p69)"	ttk FTZ-F2 CG1856	Drosophila melanogaster	Kc167 (development stage: embryonic)	iso1 (y; bw cn sp) strain	normal	GSE34698	GSM853474	None	21430782	input	GSE34698	GSM847769	None	4.78E-05	0.261800476	8.69E-06	0.000972287	5210	1.065934	1.566037	0.673248	0.738926	4.565473
EXP045551	Ttk	P17789	TTKB_DROME	"Protein tramtrack, beta isoform (Repressor protein fushi tarazu) (Tramtrack p69)"	ttk FTZ-F2 CG1856	Drosophila melanogaster	16-24 h embryos	ISO1 strain	normal	GSE34694	GSM853470	None	21430782	input	GSE34694	GSM853469	None	1.25E-05	0.007507228	0	0.000174386	5282	1.068666	4.855676	0.672866	0.730502	4.429922
EXP045547	Dfd	P07548	DFD_DROME	Homeotic protein deformed	Dfd CG2189	Drosophila melanogaster	0-8 h embryos	"DFD, transgenic"	normal	GSE34613	GSM851848	None	21430782	input	GSE34613	GSM851849	None	0.002336396	0.025460431	0.001018977	0.006259518	5214	1.024835	1.284146	0.725792	0.758989	4.548495
EXP045539	CG16778	P14083	LOV_DROME	Protein jim lovell (Protein TKR) (Tyrosine kinase-related) (dTKR)	lov Tkr CG16778	Drosophila melanogaster	0-8 h embryos	ISO1 strain	normal	GSE34601	GSM851729	None	21430782	input	GSE34601	GSM851730	None	0.000104721	0.071534532	0	0.000228289	5545	1.023861	120.6327	0.805886	0.820275	5.972876
EXP045537	USP	P20153	USP_DROME	Protein ultraspiracle (Chorion factor 1) (Nuclear receptor subfamily 2 group B member 4) (XR2C)	usp Cf1 NR2B4 CG4380	Drosophila melanogaster	0-12 h embryos	"USP, transgenic"	normal	GSE34598	GSM851706	None	21430782	input	GSE34598	GSM851707	None	0.000111351	0.052347221	0.00021704	0.002570504	5371	1.035712	6.704054	0.805941	0.82155	6.011932
