ABI4_ARATH	ABI4_ARATH
EF118_ARATH	EF118_ARATH
ABR1_ARATH	ABR1_ARATH
DREB3_ARATH	DREB3_ARATH
DREB3_ARATH	ERF42_ARATH
DREB3_ARATH	ERF43_ARATH
DREB3_ARATH	TINY_ARATH
EF119_ARATH	EF119_ARATH
SCAB2_ARATH	SCAB2_ARATH
SCAB2_ARATH	SCAB3_ARATH
AIL5_ARATH	AIL5_ARATH
EF121_ARATH	EF121_ARATH
AIL6_ARATH	AIL6_ARATH
AIL6_ARATH	PLET1_ARATH
AIL6_ARATH	PLET2_ARATH
AIL6_ARATH	ANT_ARATH
AIL6_ARATH	AP2L1_ARATH
AIL6_ARATH	AP2L3_ARATH
ERF61_ARATH	ERF61_ARATH
ERF99_ARATH	ERF99_ARATH
ERF99_ARATH	ERF95_ARATH
ERF62_ARATH	ERF62_ARATH
AP2_ARATH	AP2_ARATH
AP2_ARATH	TOE3_ARATH
ERF13_ARATH	ERF13_ARATH
ERF13_ARATH	ERF12_ARATH
ERF13_ARATH	ERF14_ARATH
EF100_ARATH	EF100_ARATH
EF100_ARATH	EF101_ARATH
ERF71_ARATH	ERF71_ARATH
RAVL1_ARATH	RAVL1_ARATH
RAVL1_ARATH	RAV2_ARATH
ERF73_ARATH	ERF73_ARATH
AP2L4_ARATH	AP2L4_ARATH
ERF16_ARATH	ERF16_ARATH
ERF84_ARATH	ERF84_ARATH
TOE2_ARATH	TOE2_ARATH
TOE2_ARATH	RAP27_ARATH
TOE2_ARATH	SMZ_ARATH
TOE2_ARATH	SNZ_ARATH
ERFL1_ARATH	ERFL1_ARATH
ERF86_ARATH	ERF86_ARATH
ERF78_ARATH	ERF78_ARATH
ERF78_ARATH	ERF79_ARATH
ERF78_ARATH	ERF81_ARATH
ERF78_ARATH	ERF76_ARATH
BBM_ARATH	BBM_ARATH
BBM_ARATH	AIL7_ARATH
BBM_ARATH	AIL1_ARATH
ERF18_ARATH	ERF18_ARATH
ERF18_ARATH	ERF17_ARATH
ERF87_ARATH	ERF87_ARATH
ERF87_ARATH	ERF97_ARATH
ERF87_ARATH	ERF96_ARATH
EF102_ARATH	EF102_ARATH
EF102_ARATH	EF103_ARATH
WIN1_ARATH	WIN1_ARATH
WIN1_ARATH	SHN2_ARATH
WIN1_ARATH	SHN3_ARATH
WIN1_ARATH	ERF03_ARATH
ERF88_ARATH	ERF88_ARATH
WRI1_ARATH	WRI1_ARATH
ERF91_ARATH	ERF91_ARATH
ERF83_ARATH	ERF83_ARATH
ERF83_ARATH	ERF82_ARATH
CRF3_ARATH	CRF3_ARATH
CRF3_ARATH	CRF4_ARATH
CRF3_ARATH	ERF69_ARATH
CRF3_ARATH	ERF70_ARATH
CRF3_ARATH	CRF2_ARATH
CRF3_ARATH	CRF1_ARATH
ERF94_ARATH	ERF94_ARATH
ERF94_ARATH	ERF93_ARATH
ERF94_ARATH	ERF92_ARATH
ERF94_ARATH	EF106_ARATH
ERF94_ARATH	EF107_ARATH
ERF22_ARATH	ERF22_ARATH
ERF22_ARATH	ERF19_ARATH
ERF22_ARATH	ERF20_ARATH
ERF23_ARATH	ERF23_ARATH
ESR1_ARATH	ESR1_ARATH
CRF6_ARATH	CRF6_ARATH
CRF6_ARATH	CRF5_ARATH
CRF6_ARATH	ERF98_ARATH
ESR2_ARATH	ESR2_ARATH
ERF77_ARATH	ERF77_ARATH
ERF77_ARATH	ERF80_ARATH
LEP_ARATH	LEP_ARATH
ERF26_ARATH	ERF26_ARATH
ERF26_ARATH	ERF27_ARATH
ERF26_ARATH	ERF25_ARATH
ERF26_ARATH	ERF24_ARATH
EF104_ARATH	EF104_ARATH
EF104_ARATH	EF105_ARATH
DRE1D_ARATH	DRE1D_ARATH
DRE1D_ARATH	DRE1A_ARATH
DRE1D_ARATH	DRE1C_ARATH
DRE1D_ARATH	DRE1B_ARATH
DRE1D_ARATH	DRE1F_ARATH
DRE1D_ARATH	DRE1E_ARATH
ERF34_ARATH	ERF34_ARATH
ERF34_ARATH	ERF35_ARATH
ERF34_ARATH	ERF38_ARATH
ERF34_ARATH	ERF39_ARATH
RAP21_ARATH	RAP21_ARATH
RAP21_ARATH	RAP29_ARATH
RA210_ARATH	RA210_ARATH
RA210_ARATH	ERF10_ARATH
RA210_ARATH	ERF08_ARATH
RA210_ARATH	ERF11_ARATH
EF109_ARATH	EF109_ARATH
RA211_ARATH	RA211_ARATH
DRE2A_ARATH	DRE2A_ARATH
DRE2A_ARATH	DRE2B_ARATH
ERF37_ARATH	ERF37_ARATH
ERF37_ARATH	ERF36_ARATH
ERF37_ARATH	ERF15_ARATH
ERF37_ARATH	ERF21_ARATH
EF110_ARATH	EF110_ARATH
DRE2C_ARATH	DRE2C_ARATH
DRE2C_ARATH	DRE2H_ARATH
