"ID","Name","Species","GeneID","Family","Evidence"
"T015801_2.00","cfi-1","Caenorhabditis_elegans","WBGene00000476","ARID/BRIGHT","D"
"T017880_2.00","athp-3","Caenorhabditis_elegans","WBGene00013799","AT hook","D"
"T017879_2.00","hmg-12","Caenorhabditis_elegans","WBGene00001977","AT hook","D"
"T027895_2.00","bed-3","Caenorhabditis_elegans","WBGene00009133","BED ZF","D"
"T046272_2.00","hlh-1","Caenorhabditis_elegans","WBGene00001948","bHLH","D"
"T046278_2.00","hlh-10","Caenorhabditis_elegans","WBGene00001954","bHLH","D"
"T046279_2.00","hlh-11","Caenorhabditis_elegans","WBGene00001955","bHLH","D"
"T046280_2.00","hlh-12","Caenorhabditis_elegans","WBGene00001956","bHLH","D"
"T046284_2.00","hlh-16","Caenorhabditis_elegans","WBGene00001960","bHLH","D"
"T046287_2.00","hlh-25","Caenorhabditis_elegans","WBGene00001964","bHLH","D"
"T046288_2.00","hlh-26","Caenorhabditis_elegans","WBGene00001965","bHLH","D"
"T046291_2.00","hlh-29","Caenorhabditis_elegans","WBGene00001968","bHLH","D"
"T046306_2.00","hlh-30","Caenorhabditis_elegans","WBGene00020930","bHLH","D"
"T040413_2.00","HLH27","Caenorhabditis_elegans","HLH27","bHLH","D"
"T046295_2.00","mdl-1","Caenorhabditis_elegans","WBGene00003163","bHLH","D"
"T046299_2.00","mxl-3","Caenorhabditis_elegans","WBGene00003511","bHLH","D"
"T046301_2.00","ref-1","Caenorhabditis_elegans","WBGene00004334","bHLH","D"
"T055742_2.00","Y44A6D.3","Caenorhabditis_elegans","WBGene00012854","Brinker","D"
"T055744_2.00","Y48G1C.6","Caenorhabditis_elegans","WBGene00021679","Brinker","D"
"T069393_2.00","atf-2","Caenorhabditis_elegans","WBGene00000220","bZIP","D"
"T069394_2.00","atf-5","Caenorhabditis_elegans","WBGene00000221","bZIP","D"
"T069395_2.00","atf-6","Caenorhabditis_elegans","WBGene00000222","bZIP","D"
"T069396_2.00","atf-7","Caenorhabditis_elegans","WBGene00000223","bZIP","D"
"T069415_2.00","atf-8","Caenorhabditis_elegans","WBGene00017535","bZIP","D"
"T069414_2.00","cebp-1","Caenorhabditis_elegans","WBGene00016997","bZIP","D"
"T069397_2.00","ces-2","Caenorhabditis_elegans","WBGene00000469","bZIP","D"
"T069412_2.00","crh-2","Caenorhabditis_elegans","WBGene00016162","bZIP","D"
"T069399_2.00","fos-1","Caenorhabditis_elegans","WBGene00001345","bZIP","D"
"T069418_2.00","hpo-39","Caenorhabditis_elegans","WBGene00022020","bZIP","D"
"T069406_2.00","jun-1","Caenorhabditis_elegans","WBGene00012005","bZIP","D"
"T069402_2.00","skn-1","Caenorhabditis_elegans","WBGene00004804","bZIP","D"
"T069403_2.00","xbp-1","Caenorhabditis_elegans","WBGene00006959","bZIP","D"
"T069407_2.00","zip-10","Caenorhabditis_elegans","WBGene00012101","bZIP","D"
"T069417_2.00","zip-11","Caenorhabditis_elegans","WBGene00021082","bZIP","D"
"T069408_2.00","zip-3","Caenorhabditis_elegans","WBGene00012330","bZIP","D"
"T069405_2.00","zip-6","Caenorhabditis_elegans","WBGene00011130","bZIP","D"
"T069409_2.00","zip-7","Caenorhabditis_elegans","WBGene00013100","bZIP","D"
"T069416_2.00","zip-8","Caenorhabditis_elegans","WBGene00017755","bZIP","D"
"T131614_2.00","B0310.2","Caenorhabditis_elegans","WBGene00015138","C2H2 ZF","D"
"T131625_2.00","bcl-11","Caenorhabditis_elegans","WBGene00017430","C2H2 ZF","D"
"T131566_2.00","blmp-1","Caenorhabditis_elegans","WBGene00003847","C2H2 ZF","D"
"T131651_2.00","bnc-1","Caenorhabditis_elegans","WBGene00044791","C2H2 ZF","D"
"T131619_2.00","C46E10.8","Caenorhabditis_elegans","WBGene00016712","C2H2 ZF","D"
"T131549_2.00","ces-1","Caenorhabditis_elegans","WBGene00000468","C2H2 ZF","D"
"T131550_2.00","che-1","Caenorhabditis_elegans","WBGene00000483","C2H2 ZF","D"
"T131551_2.00","die-1","Caenorhabditis_elegans","WBGene00000995","C2H2 ZF","D"
"T131552_2.00","egl-43","Caenorhabditis_elegans","WBGene00001207","C2H2 ZF","D"
"T131578_2.00","egrh-1","Caenorhabditis_elegans","WBGene00007772","C2H2 ZF","D"
